Level: State and Local,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:Total (thousands), Nominal,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Year,(R05) Total Taxes,(R06) Property Tax (T01),(R07) NonProperty Taxes,(R08) Tot Sales & Gr Rec Tax,(R09) Total Gen Sales Tax (T09),(R10) Total Select Sales Tax,(R11) Alcoholic Beverage Tax (T10),(R12) Amusement Tax (T11),(R13) Insurance Premium Tax (T12),(R14) Motor Fuels Tax (T13),(R15) Parimutuels Tax (T14),(R16) Public Utility Tax (T15),(R17) Tobacco Tax (T16),(R18) Other Select Sales Tax (T19),(R19) Total License Taxes,(R20) Alcoholic Beverage Lic (T20),(R21) Corporation License (T22),(R22) Motor Veh & Oper Lic,(R23) Motor Vehicle License (T24),(R24) Motor Veh Oper License (T25),(R25) Other License Taxes,(R26) Total Income Taxes,(R27) Individual Income Tax (T40),(R28) Corp Net Income Tax (T41),(R29) Death and Gift Tax (T50),(R30) Taxes NEC
United States,1994,"$625,528,938 ","$197,141,008 ","$428,387,930 ","$223,628,301 ","$149,039,888 ","$74,588,413 ","$3,903,861 ","$1,343,642 ","$8,646,407 ","$25,202,592 ","$529,059 ","$15,062,585 ","$6,903,032 ","$12,997,235 ","$25,047,834 ","$301,757 ","$4,508,691 ","$13,821,977 ","$12,762,168 ","$1,059,809 ","$6,415,409 ","$157,129,436 ","$128,809,920 ","$28,319,516 ","$5,054,028 ","$17,528,331 "
United States,1995,"$660,576,796 ","$203,451,246 ","$457,125,550 ","$237,268,397 ","$160,166,175 ","$77,102,222 ","$3,905,881 ","$1,619,114 ","$8,621,912 ","$26,205,551 ","$505,813 ","$14,990,117 ","$7,535,681 ","$13,718,153 ","$27,210,725 ","$303,465 ","$5,017,539 ","$14,643,887 ","$13,494,997 ","$1,148,890 ","$7,245,834 ","$169,336,409 ","$137,930,595 ","$31,405,814 ","$4,921,289 ","$18,388,730 "
United States,1996,"$689,038,310 ","$209,439,663 ","$479,598,647 ","$248,992,852 ","$169,071,068 ","$79,921,784 ","$3,987,900 ","$1,861,478 ","$9,082,492 ","$26,832,575 ","$464,766 ","$15,920,356 ","$7,520,362 ","$14,251,855 ","$28,334,684 ","$309,707 ","$5,162,518 ","$14,938,568 ","$13,770,065 ","$1,168,503 ","$7,923,891 ","$178,852,676 ","$146,843,565 ","$32,009,111 ","$5,352,273 ","$18,066,162 "
United States,1997,"$728,303,973 ","$218,877,317 ","$509,426,656 ","$261,418,066 ","$178,373,323 ","$83,044,743 ","$4,021,740 ","$1,954,188 ","$9,170,869 ","$28,094,363 ","$423,547 ","$16,196,246 ","$7,666,546 ","$15,517,244 ","$29,293,738 ","$307,872 ","$5,886,308 ","$15,216,759 ","$14,028,870 ","$1,187,889 ","$7,882,799 ","$192,862,311 ","$159,041,889 ","$33,820,422 ","$5,940,439 ","$19,912,102 "
United States,1998,"$773,963,195 ","$230,150,058 ","$543,813,137 ","$274,883,406 ","$188,752,895 ","$86,130,511 ","$4,047,022 ","$2,370,501 ","$9,224,297 ","$29,246,986 ","$405,261 ","$16,796,302 ","$7,956,232 ","$16,083,910 ","$30,906,539 ","$304,585 ","$6,132,994 ","$16,142,504 ","$14,884,049 ","$1,258,455 ","$8,326,456 ","$210,041,650 ","$175,630,035 ","$34,411,615 ","$6,971,125 ","$21,010,417 "
United States,1999,"$815,341,479 ","$239,671,604 ","$575,669,875 ","$290,992,942 ","$200,626,752 ","$90,366,190 ","$4,191,279 ","$3,291,504 ","$9,620,707 ","$30,094,424 ","$382,174 ","$17,170,336 ","$8,374,871 ","$17,240,895 ","$31,727,532 ","$306,642 ","$6,362,826 ","$16,632,127 ","$15,342,018 ","$1,290,109 ","$8,425,937 ","$223,231,225 ","$189,308,854 ","$33,922,371 ","$7,519,383 ","$22,198,793 "
United States,2000,"$872,351,114 ","$249,177,604 ","$623,173,510 ","$309,289,792 ","$215,112,414 ","$94,177,378 ","$4,393,193 ","$3,637,660 ","$9,781,284 ","$30,938,602 ","$337,688 ","$17,830,992 ","$8,584,773 ","$18,673,186 ","$33,927,319 ","$294,085 ","$6,463,659 ","$17,748,533 ","$16,401,309 ","$1,347,224 ","$9,421,042 ","$247,719,585 ","$211,660,682 ","$36,058,903 ","$8,034,202 ","$24,202,612 "
United States,2001,"$914,118,616 ","$263,689,177 ","$650,429,439 ","$320,216,988 ","$223,428,227 ","$96,788,761 ","$4,521,794 ","$3,816,390 ","$10,297,597 ","$32,045,388 ","$306,642 ","$18,359,820 ","$8,833,438 ","$18,607,692 ","$34,197,890 ","$301,741 ","$6,386,976 ","$17,778,214 ","$16,447,346 ","$1,330,868 ","$9,730,959 ","$261,629,699 ","$226,333,547 ","$35,296,152 ","$7,550,511 ","$26,834,351 "
United States,2002,"$905,100,802 ","$279,191,478 ","$625,909,324 ","$324,122,506 ","$222,986,687 ","$101,135,819 ","$4,600,156 ","$4,079,377 ","$11,193,605 ","$33,044,249 ","$308,408 ","$20,293,723 ","$9,092,865 ","$18,523,436 ","$36,716,191 ","$330,146 ","$5,846,014 ","$18,356,056 ","$16,935,486 ","$1,420,570 ","$12,183,975 ","$230,984,116 ","$202,832,254 ","$28,151,862 ","$7,510,323 ","$26,576,188 "
United States,2003,"$938,971,754 ","$296,683,185 ","$642,288,569 ","$337,786,567 ","$229,222,301 ","$108,564,266 ","$4,756,547 ","$4,485,261 ","$12,564,017 ","$33,378,664 ","$302,110 ","$21,014,692 ","$11,806,700 ","$20,256,275 ","$37,269,481 ","$348,437 ","$6,133,398 ","$19,098,073 ","$17,379,042 ","$1,719,031 ","$11,689,573 ","$230,776,084 ","$199,407,020 ","$31,369,064 ","$6,715,248 ","$29,741,189 "
United States,2004,"$1,010,545,571 ","$317,941,413 ","$692,604,158 ","$361,026,946 ","$245,342,513 ","$115,684,433 ","$4,985,706 ","$4,990,713 ","$13,973,656 ","$34,943,572 ","$301,878 ","$21,347,791 ","$12,625,780 ","$22,515,337 ","$41,255,979 ","$375,972 ","$6,427,718 ","$20,739,234 ","$18,740,756 ","$1,998,478 ","$13,713,055 ","$248,930,562 ","$215,214,769 ","$33,715,793 ","$5,758,175 ","$35,632,496 "
United States,2005,"$1,098,512,679 ","$335,779,002 ","$762,733,677 ","$384,266,166 ","$262,951,838 ","$121,314,328 ","$5,125,140 ","$5,561,739 ","$14,891,237 ","$35,766,701 ","$367,732 ","$22,334,923 ","$13,337,259 ","$23,929,597 ","$56,809,940 ","$452,196 ","$7,152,125 ","$21,712,875 ","$19,655,967 ","$2,056,908 ","$27,492,744 ","$285,528,754 ","$242,273,042 ","$43,255,712 ","$5,421,759 ","$30,707,058 "
