Level: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit:Total (thousands), Nominal,,,,,,,,,,,,,,,,,,,,,,,,,,
State,Year,(R05) Total Taxes,(R06) Property Tax (T01),(R07) NonProperty Taxes,(R08) Tot Sales & Gr Rec Tax,(R09) Total Gen Sales Tax (T09),(R10) Total Select Sales Tax,(R11) Alcoholic Beverage Tax (T10),(R12) Amusement Tax (T11),(R13) Insurance Premium Tax (T12),(R14) Motor Fuels Tax (T13),(R15) Parimutuels Tax (T14),(R16) Public Utility Tax (T15),(R17) Tobacco Tax (T16),(R18) Other Select Sales Tax (T19),(R19) Total License Taxes,(R20) Alcoholic Beverage Lic (T20),(R21) Corporation License (T22),(R22) Motor Veh & Oper Lic,(R23) Motor Vehicle License (T24),(R24) Motor Veh Oper License (T25),(R25) Other License Taxes,(R26) Total Income Taxes,(R27) Individual Income Tax (T40),(R28) Corp Net Income Tax (T41),(R29) Death and Gift Tax (T50),(R30) Taxes NEC
United States,1994,"$252,209,559.00","$188,755,008.00","$63,454,551.00","$37,757,270.00","$26,034,273.00","$11,722,997.00","$293,401.00",$0.00,"$36,333.00","$712,893.00",$0.00,"$6,572,165.00","$185,930.00","$3,922,275.00","$963,263.00","$2,584.00","$4,871.00","$928,906.00","$927,171.00","$1,735.00","$26,902.00","$14,309,478.00","$11,682,120.00","$2,627,358.00","$11,714.00","$10,412,826.00"
United States,1995,"$261,429,791.00","$193,932,941.00","$67,496,850.00","$40,417,947.00","$27,930,016.00","$12,487,931.00","$308,753.00",$0.00,"$34,703.00","$765,830.00",$0.00,"$6,928,424.00","$188,034.00","$4,262,187.00","$1,127,729.00","$15,029.00","$3,924.00","$1,084,645.00","$1,080,682.00","$3,963.00","$24,131.00","$14,651,265.00","$12,320,470.00","$2,330,795.00","$16,807.00","$11,283,102.00"
United States,1996,"$270,601,514.00","$199,467,270.00","$71,134,244.00","$42,832,246.00","$29,709,124.00","$13,123,122.00","$274,644.00",$0.00,"$33,121.00","$843,785.00",$0.00,"$7,305,562.00","$182,509.00","$4,483,501.00","$1,120,419.00","$2,646.00","$4,093.00","$1,089,907.00","$1,088,247.00","$1,660.00","$23,773.00","$15,988,957.00","$13,295,530.00","$2,693,427.00","$32,175.00","$11,160,447.00"
United States,1997,"$284,107,313.00","$208,574,413.00","$75,532,900.00","$44,991,368.00","$30,959,790.00","$14,031,578.00","$318,888.00",$0.00,"$42,625.00","$880,679.00",$0.00,"$7,598,367.00","$181,087.00","$5,009,932.00","$1,218,735.00","$2,071.00","$3,897.00","$1,189,984.00","$1,188,379.00","$1,605.00","$22,783.00","$17,194,413.00","$14,091,852.00","$3,102,561.00","$27,314.00","$12,101,070.00"
United States,1998,"$300,911,754.00","$219,491,504.00","$81,420,250.00","$48,240,005.00","$33,480,798.00","$14,759,207.00","$281,579.00",$0.00,"$37,096.00","$901,999.00",$0.00,"$8,000,698.00","$208,656.00","$5,329,179.00","$1,251,434.00","$2,016.00","$3,796.00","$1,223,423.00","$1,221,859.00","$1,564.00","$22,199.00","$18,838,176.00","$15,515,186.00","$3,322,990.00","$32,256.00","$13,058,379.00"
United States,1999,"$315,398,266.00","$228,017,371.00","$87,380,895.00","$51,625,669.00","$36,248,736.00","$15,376,933.00","$291,738.00",$0.00,"$25,671.00","$925,485.00",$0.00,"$8,281,383.00","$204,679.00","$5,647,977.00","$1,287,341.00","$1,950.00","$3,676.00","$1,260,249.00","$1,258,737.00","$1,512.00","$21,466.00","$19,701,334.00","$16,544,588.00","$3,156,746.00","$26,247.00","$14,740,304.00"
United States,2000,"$332,695,777.00","$238,181,583.00","$94,514,194.00","$57,143,290.00","$40,651,254.00","$16,492,036.00","$289,162.00",$0.00,"$30,882.00","$970,692.00",$0.00,"$8,600,458.00","$193,443.00","$6,407,399.00","$1,328,822.00","$1,833.00","$3,458.00","$1,303,348.00","$1,301,926.00","$1,422.00","$20,183.00","$20,624,511.00","$17,087,625.00","$3,536,886.00","$35,992.00","$15,381,579.00"
United States,2001,"$354,439,491.00","$253,258,818.00","$101,180,673.00","$62,198,883.00","$44,109,582.00","$18,089,301.00","$355,161.00",$0.00,"$33,356.00","$1,019,517.00",$0.00,"$9,394,307.00","$189,743.00","$7,097,217.00","$1,331,636.00","$1,734.00","$3,266.00","$1,307,542.00","$1,306,197.00","$1,345.00","$19,094.00","$21,862,783.00","$18,254,090.00","$3,608,693.00","$51,072.00","$15,736,299.00"
United States,2002,"$369,909,641.00","$269,489,093.00","$100,420,548.00","$61,761,893.00","$43,321,430.00","$18,440,463.00","$350,948.00",$0.00,"$35,502.00","$1,076,213.00",$0.00,"$10,005,774.00","$190,847.00","$6,781,179.00","$1,325,089.00","$2,103.00","$3,960.00","$1,295,871.00","$1,294,240.00","$1,631.00","$23,155.00","$20,214,406.00","$17,185,681.00","$3,028,725.00","$125,889.00","$16,993,271.00"
United States,2003,"$389,980,887.00","$286,212,675.00","$103,768,212.00","$63,975,346.00","$44,625,594.00","$19,349,752.00","$357,830.00",$0.00,"$41,281.00","$1,109,587.00",$0.00,"$10,457,634.00","$324,636.00","$7,058,784.00","$1,406,308.00","$2,505.00","$4,716.00","$1,371,518.00","$1,369,575.00","$1,943.00","$27,569.00","$20,459,097.00","$17,474,507.00","$2,984,590.00","$29,944.00","$17,897,517.00"
