Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R05) Total Taxes,(R06) Property Tax (T01),(R07) NonProperty Taxes,(R08) Tot Sales & Gr Rec Tax,(R09) Total Gen Sales Tax (T09),(R10) Total Select Sales Tax,(R11) Alcoholic Beverage Tax (T10),(R12) Amusement Tax (T11),(R13) Insurance Premium Tax (T12),(R14) Motor Fuels Tax (T13),(R15) Parimutuels Tax (T14),(R16) Public Utility Tax (T15),(R17) Tobacco Tax (T16),(R18) Other Select Sales Tax (T19),(R19) Total License Taxes,(R20) Alcoholic Beverage Lic (T20),(R21) Corporation License (T22),(R22) Motor Veh & Oper Lic,(R23) Motor Vehicle License (T24),(R24) Motor Veh Oper License (T25),(R25) Other License Taxes,(R26) Total Income Taxes,(R27) Individual Income Tax (T40),(R28) Corp Net Income Tax (T41),(R29) Death and Gift Tax (T50),(R30) Taxes NEC
United States,1994,$      841701928,$      373319379,$        8386000,$      364933379,$      185871031,$      123005615,$       62865416,$        3610460,$        1343642,$        8610074,$       24489699,$         529059,$        8490420,$        6717102,$        9074960,$       24084571,$         299173,$        4503820,$       12893071,$       11834997,$        1058074,$        6388507,$      142819958,$      117127800,$       25692158,$        5042314,$        7115505
United States,1995,$      906404245,$      399147005,$        9518305,$      389628700,$      196850450,$      132236159,$       64614291,$        3597128,$        1619114,$        8587209,$       25439721,$         505813,$        8061693,$        7347647,$        9455966,$       26082996,$         288436,$        5013615,$       13559242,$       12414315,$        1144927,$        7221703,$      154685144,$      125610125,$       29075019,$        4904482,$        7105628
United States,1996,$      966808121,$      418390240,$        9973524,$      408416716,$      206114816,$      139363248,$       66751568,$        3666690,$        1861478,$        9049371,$       25988277,$         464766,$        8614794,$        7337848,$        9768344,$       27213577,$         307061,$        5158425,$       13847973,$       12681130,$        1166843,$        7900118,$      162862402,$      133546718,$       29315684,$        5320098,$        6905823
United States,1997,$     1040256674,$      444196660,$       10302904,$      433893756,$      216426698,$      147413533,$       69013165,$        3702852,$        1954188,$        9128244,$       27213684,$         423547,$        8597879,$        7485459,$       10507312,$       28075003,$         305801,$        5882411,$       14026775,$       12840491,$        1186284,$        7860016,$      175667898,$      144950037,$       30717861,$        5913125,$        7811032
United States,1998,$     1103239093,$      473051441,$       10658554,$      462392887,$      226643401,$      155272097,$       71371304,$        3765443,$        2370501,$        9187201,$       28344987,$         405261,$        8795604,$        7747576,$       10754731,$       29655105,$         302569,$        6129198,$       14919081,$       13662190,$        1256891,$        8304257,$      191203474,$      160114849,$       31088625,$        6938869,$        7952038
United States,1999,$     1152869754,$      499943213,$       11654233,$      488288980,$      239367273,$      164378016,$       74989257,$        3899541,$        3291504,$        9595036,$       29168939,$         382174,$        8888953,$        8170192,$       11592918,$       30440191,$         304692,$        6359150,$       15371878,$       14083281,$        1288597,$        8404471,$      203529891,$      172764266,$       30765625,$        7493136,$        7458489
United States,2000,$     1260829249,$      539655337,$       10996021,$      528659316,$      252146502,$      174461160,$       77685342,$        4104031,$        3637660,$        9750402,$       29967910,$         337688,$        9230534,$        8391330,$       12265787,$       32598497,$         292252,$        6460201,$       16445185,$       15099383,$        1345802,$        9400859,$      227095074,$      194573057,$       32522017,$        7998210,$        8821033
United States,2001,$     1180305168,$      559679125,$       10430359,$      549248766,$      258018105,$      179318645,$       78699460,$        4166633,$        3816390,$       10264241,$       31025871,$         306642,$        8965513,$        8643695,$       11510475,$       32866254,$         300007,$        6383710,$       16470672,$       15141149,$        1329523,$        9711865,$      239766916,$      208079457,$       31687459,$        7499439,$       11098052
United States,2002,$     1097045283,$      535191161,$        9702385,$      525488776,$      262360613,$      179665257,$       82695356,$        4249208,$        4079377,$       11158103,$       31968036,$         308408,$       10287949,$        8902018,$       11742257,$       35391102,$         328043,$        5842054,$       17060185,$       15641246,$        1418939,$       12160820,$      210769710,$      185646573,$       25123137,$        7384434,$        9582917
United States,2003,$     1295658820,$      548990867,$       10470510,$      538520357,$      273811221,$      184596707,$       89214514,$        4398717,$        4485261,$       12522736,$       32269077,$         302110,$       10557058,$       11482064,$       13197491,$       35863173,$         345932,$        6128682,$       17726555,$       16009467,$        1717088,$       11662004,$      210316987,$      181932513,$       28384474,$        6685304,$       11843672
United States,2004,$     1586764225,$      590404186,$       10714030,$      579690156,$      293287340,$      197948848,$       95338492,$        4593296,$        4990713,$       13926204,$       33762419,$         301878,$       10614062,$       12303265,$       14846655,$       39707951,$         375972,$        6339371,$       19329497,$       17336128,$        1993369,$       13663111,$      226484172,$      196255135,$       30229037,$        5731709,$       14478984
United States,2005,$     1642469224,$      650611855,$       11342167,$      639269688,$      312584453,$      212920979,$       99663474,$        4705820,$        5242022,$       14842349,$       34567013,$         309789,$       10909372,$       12916902,$       16170207,$       42584060,$         378440,$        7147639,$       20270103,$       18220765,$        2049338,$       14787878,$      260288462,$      221597486,$       38690976,$        5339548,$       18473165
United States,2006,$     1774648692,$      715973170,$       12283609,$      703689561,$      337948927,$      229630169,$      108318758,$        4925215,$        5660945,$       15080258,$       35709975,$         238770,$       13320828,$       14536527,$       18846240,$       44949296,$         423409,$        7496717,$       21086877,$       18996711,$        2090166,$       15942293,$      293115052,$      245645917,$       47469135,$        4960948,$       22715338
United States,2007,$     1995161733,$      757470540,$       12621305,$      744849235,$      352705511,$      238303540,$      114401971,$        5166491,$        6055176,$       15413124,$       36543382,$         232123,$       14332765,$       15299135,$       21359775,$       46696709,$         447986,$        8570097,$       21613174,$       19469613,$        2143561,$       16065452,$      318778597,$      265863142,$       52915455,$        4923712,$       21744706
United States,2008,$     1578850796,$      779720337,$       12689300,$      767031037,$      358824699,$      240165120,$      118659579,$        5290145,$        6548762,$       15765657,$       37632179,$         218582,$       14817630,$       16068195,$       22318429,$       49066849,$         453507,$       10436785,$       21732666,$       19557824,$        2174842,$       16443891,$      327856472,$      277996021,$       49860451,$        5100767,$       26182250
United States,2009,$     1133446448,$      713474529,$       12982802,$      700491727,$      342604156,$      226781684,$      115822472,$        5347705,$        6424240,$       15026718,$       36471286,$         181232,$       14898003,$       16689547,$       20783741,$       49145634,$         430066,$       10194835,$       21822886,$       19626624,$        2196262,$       16697847,$      285158344,$      245880786,$       39277558,$        4628295,$       18955298
United States,2010,$     2039926569,$      705929253,$       14453759,$      691475494,$      344522236,$      224314387,$      120207849,$        5510596,$        6421284,$       15827603,$       36631732,$         147303,$       14652776,$       16858337,$       24158218,$       50429351,$         450291,$        9904881,$       23327033,$       20861195,$        2465838,$       16747146,$      274992889,$      236986784,$       38006105,$        3891096,$       17639922
United States,2011,$     2270678921,$      762378532,$       14243208,$      748135324,$      369476023,$      237813570,$      131662453,$        5727754,$        6613212,$       16425866,$       39858287,$         135792,$       14668165,$       17252641,$       30980736,$       51700543,$         446250,$       10021547,$       24052399,$       21536240,$        2516159,$       17180347,$      300893710,$      259613219,$       41280491,$        4484644,$       21580404
United States,2012,$     1862993992,$      798518044,$       13107189,$      785410855,$      383157165,$      250756141,$      132401024,$        5971042,$        6760869,$       16640811,$       40111264,$         135999,$       14700220,$       17194967,$       30885852,$       50111478,$         459139,$        6767022,$       25459103,$       22859694,$        2599409,$       17426214,$      322306097,$      280589983,$       41716114,$        4499843,$       25336272
United States,2013,$     2223100980,$      850861694,$       13175082,$      837686612,$      401359569,$      261709095,$      139650474,$        6063971,$        6875025,$       17331928,$       40125049,$         129637,$       14496870,$       17950078,$       36677916,$       51034596,$         688830,$        6705890,$       25716700,$       23161799,$        2554901,$       17923176,$      354751516,$      309880554,$       44870962,$        4884995,$       25655936
United States,2014,$     2357924745,$      870437236,$       14224773,$      856212463,$      414906182,$      273899272,$      141006910,$        6163977,$        7233550,$       18059121,$       41491476,$         124332,$       14034297,$       17943278,$       35956879,$       51318149,$         605537,$        6215138,$       26316955,$       23809968,$        2506987,$       18180519,$      358054093,$      311562355,$       46491738,$        4765420,$       27168619
United States,2015,$     2165148158,$      911430397,$       15282882,$      896147515,$      430709039,$      286022820,$      144686219,$        6424720,$        7448559,$       19002897,$       42499755,$         121505,$       13433743,$       17712391,$       38042649,$       52053120,$         595796,$        5696447,$       27019362,$       24410743,$        2608619,$       18741515,$      385170454,$      336558465,$       48611989,$        4713366,$       23501536
United States,2016,$     2141806161,$      923258860,$       15898538,$      907360322,$      441157807,$      291902379,$      149255428,$        6621831,$        7618581,$       20346422,$       43782993,$         123427,$       12972705,$       18058811,$       39730658,$       53909012,$         628840,$        5648982,$       28150948,$       25537828,$        2613120,$       19480242,$      387951293,$      342376475,$       45574818,$        5080060,$       19262150
United States,2017,$     2531103057,$      946076690,$       16494043,$      929582647,$      456695115,$      299573689,$      157121426,$        6619772,$        7866349,$       20888531,$       45036264,$         118408,$       12248133,$       18644264,$       45699705,$       51489220,$         661379,$        5832440,$       28680843,$       26100751,$        2580092,$       16314558,$      396183788,$      351526396,$       44657392,$        4716594,$       20497930
Alabama,1994,$       11599362,$        4767108,$         112596,$        4654512,$        2559992,$        1279245,$        1280747,$         112043,$             91,$         166346,$         445279,$           5180,$         376822,$          68116,$         106870,$         386771,$           2698,$          94207,$         171738,$         157861,$          13877,$         118128,$        1585753,$        1367622,$         218131,$          30176,$          91820
Alabama,1995,$       12448670,$        5077827,$         118202,$        4959625,$        2645405,$        1364911,$        1280494,$         103674,$            107,$         153661,$         457582,$           4693,$         377803,$          69194,$         113780,$         480698,$           2417,$         125569,$         198873,$         182439,$          16434,$         153839,$        1718941,$        1482662,$         236279,$          34705,$          79876
Alabama,1996,$       12741148,$        5257771,$         134252,$        5123519,$        2773974,$        1439145,$        1334829,$         115177,$            105,$         159955,$         462197,$           4506,$         403569,$          70320,$         119000,$         422841,$           2431,$         111172,$         187753,$         169735,$          18018,$         121485,$        1795530,$        1577914,$         217616,$          32407,$          98767
Alabama,1997,$       14007883,$        5484161,$         131229,$        5352932,$        2866477,$        1505713,$        1360764,$         117004,$             81,$         155989,$         472814,$           4272,$         414052,$          69882,$         126670,$         424165,$           2301,$         109504,$         186746,$         170633,$          16113,$         125614,$        1914215,$        1687599,$         226616,$          44511,$         103564
