DATE,LASST010000000000004,LASST020000000000004,LASST040000000000004,LASST050000000000004,LASST060000000000004,LASST080000000000004,LASST090000000000004,LASST100000000000004,LASST120000000000004,LASST130000000000004,LASST150000000000004,LASST160000000000004,LASST170000000000004,LASST180000000000004,LASST190000000000004,LASST200000000000004,LASST210000000000004,LASST220000000000004,LASST230000000000004,LASST240000000000004,LASST250000000000004,LASST260000000000004,LASST270000000000004,LASST280000000000004,LASST290000000000004,LASST300000000000004,LASST310000000000004,LASST320000000000004,LASST330000000000004,LASST340000000000004,LASST350000000000004,LASST360000000000004,LASST370000000000004,LASST380000000000004,LASST390000000000004,LASST400000000000004,LASST410000000000004,LASST420000000000004,LASST440000000000004,LASST450000000000004,LASST460000000000004,LASST470000000000004,LASST480000000000004,LASST490000000000004,LASST500000000000004,LASST510000000000004,LASST530000000000004,LASST540000000000004,LASST550000000000004,LASST560000000000004
1976-01-01,100255,11345,99675,65079,889057,67771,141184,20306,343626,188707,41455,19957,345022,158010,55524,45470,82995,96011,41649,123711,280037,390263,110020,64341,124863,19210,23615,28843,26622,336337,42129,790611,167899,9215,384249,70205,104177,412216,35361,97754,9835,109701,329209,30233,18568,137698,138369,55109,122213,7284
1976-02-01,99845,11295,99756,65184,887484,67478,141186,20172,344109,188798,41637,19921,344341,158368,55662,45457,82952,95558,41665,123374,280754,391232,109987,64195,124619,19163,23581,28866,26654,335930,42191,789362,168083,9164,385068,70173,104095,412910,35354,97652,9821,109437,329326,30232,18594,137439,138012,55246,122256,7289
1976-03-01,98463,11209,99330,65178,882881,66911,140931,20256,342474,188045,41798,19979,342028,157072,55527,45441,82685,95594,41563,123042,280326,391615,108884,63317,124561,19114,23346,28871,26648,336227,42376,786483,166836,9168,385159,69960,103143,414888,35306,96652,9694,108578,330249,30106,18632,136696,137507,55482,121637,7295
1976-04-01,96770,11222,97721,64562,877506,66892,140109,21066,335999,185644,41389,20275,338510,151786,54663,45403,82143,97419,41213,123897,275844,388545,106321,61652,125791,19152,22874,28769,26484,338429,42587,783061,162649,9402,381028,69363,101016,416760,35196,94237,9487,107543,331948,29749,18618,135688,137719,55369,119650,7280
1976-05-01,96018,11365,95873,63630,875674,67638,139241,22186,328392,182933,40587,20624,336736,145625,53497,45323,81547,100292,40801,125472,269611,383039,103990,60324,127664,19261,22469,28627,26233,341172,42663,782348,158100,9746,374523,68764,99051,416223,35076,91990,9337,107119,333318,29378,18529,135284,138704,54715,117500,7245
1976-06-01,96760,11683,94232,62451,879992,69226,138166,23384,321634,180866,39507,20926,337010,140801,52370,45093,80886,103598,40478,127287,262770,376118,102970,59856,129951,19411,22259,28529,25932,343791,42704,783847,154860,10140,367169,68098,98011,412211,35069,90438,9370,107880,333280,29109,18341,135602,140541,53257,115880,7187
1976-07-01,98980,12148,93141,61191,891081,71565,136712,24413,317509,180429,38227,21126,339248,138555,51590,44771,80425,106373,40391,128808,256487,369316,103661,60499,132543,19611,22317,28529,25634,345988,42724,786646,154102,10520,361059,67322,98325,406282,35276,89832,9619,109998,331535,28977,18074,136459,143119,51276,115370,7107
1976-08-01,101573,12664,92940,60143,906286,73920,134603,25094,317030,181730,37013,21222,342052,138432,51351,44547,79777,107899,40581,129278,251569,364173,105578,61972,135375,19812,22589,28695,25397,347644,42820,789257,156232,10835,356875,66566,99607,400590,35694,89927,9986,112885,328891,28950,17776,137152,145864,48855,115936,7029
1976-09-01,103707,13169,93228,59475,921214,75884,131656,25550,318561,184031,36062,21308,342365,139429,51594,44528,78668,108342,40966,129389,247445,361114,107637,63505,138320,19977,22861,28958,25261,349476,43131,789321,159649,11094,355437,65787,101020,397669,36248,90178,10347,115677,326918,28956,17500,137270,148431,46651,116500,6994
1976-10-01,105882,13634,93669,59307,933524,77568,128413,25886,321081,186913,35434,21449,339419,141321,52237,44812,77586,108225,41533,130328,243953,360483,109380,64828,140956,20146,23049,29185,25288,352378,43574,786684,163106,11339,357987,65180,102397,399463,36863,90839,10670,118335,326811,29080,17305,137375,150897,45629,116921,7008
