DATE	AZ	CA	FL
2003-10-01	9.9	11.7	9.3
2004-01-01	9.7	11.6	9.1
2004-04-01	9.6	11.4	9.0
2004-07-01	9.1	11.2	8.6
2004-10-01	9.2	11.0	8.3
2005-01-01	8.7	10.6	8.1
2005-04-01	8.5	10.4	7.7
2005-07-01	8.6	10.2	7.4
2005-10-01	8.3	9.7	6.9
2006-01-01	8.4	9.5	6.5
2006-04-01	8.2	9.4	6.2
2006-07-01	7.5	9.2	6.1
2006-10-01	7.6	9.1	6.2
2007-01-01	7.4	9.2	6.6
2007-04-01	7.0	9.3	6.9
2007-07-01	7.1	9.5	7.4
2007-10-01	7.4	9.9	8.0
2008-01-01	7.5	10.4	8.5
2008-04-01	8.2	11.1	9.3
2008-07-01	9.5	12.0	10.4
2008-10-01	10.7	13.4	11.9
2009-01-01	12.9	15.6	13.8
2009-04-01	15.5	17.7	15.6
2009-07-01	17.2	19.6	17.2
2009-10-01	18.1	21.1	18.4
2010-01-01	18.5	21.7	19.2
2010-04-01	18.5	21.9	19.2
2010-07-01	18.2	22.1	19.2
2010-10-01	18.4	22.1	19.3
2011-01-01	18.7	22.0	18.8
2011-04-01	18.2	21.8	18.4
2011-07-01	18.3	21.6	18.2
2011-10-01	18.0	21.1	17.6
2012-01-01	17.1	20.8	17.3
2012-04-01	16.6	20.3	17.0
2012-07-01	16.1	19.6	16.4
2012-10-01	15.9	19.3	16.0
2013-01-01	15.6	18.8	15.5
2013-04-01	15.7	18.3	15.1
2013-07-01	16.0	17.8	14.6
2013-10-01	16.0	17.3	14.3
2014-01-01	16.1	16.7	14.3
2014-04-01	15.9	16.2	13.9
2014-07-01	15.1	15.8	13.4
2014-10-01	14.7	15.2	12.8
2015-01-01	14.3	14.7	12.3
2015-04-01	13.8	14.0	12.3
2015-07-01	13.6	13.3	11.9
2015-10-01	12.8	12.7	11.5
2016-01-01	11.7	12.0	11.0
2016-04-01	11.3	11.7	10.6
2016-07-01	10.9	11.6	10.3
2016-10-01	10.8	11.3	10.3
2017-01-01	10.9	11.1	10.3
2017-04-01	10.5	10.7	10.0
2017-07-01	9.9	10.3	9.5
2017-10-01	9.5	9.8	9.1
2018-01-01	9.3	9.4	8.6
2018-04-01	9.1	9.2	8.3
2018-07-01	9.3	8.8	7.9
2018-10-01	9.1	8.8	7.6
2019-01-01	9.0	8.8	7.5
2019-04-01	9.2	8.6	7.4
2019-07-01	9.1	8.5	7.3
2019-10-01	9.3	8.3	7.1
