"time","original","adjusted"
"1994Q1",1309,1488.24930039694
"1994Q2",1721,1516.32693927576
"1994Q3",1441,1484.16923272811
"1994Q4",1582,1527.5521854706
"1995Q1",1309,1525.7969976568
"1995Q2",1721,1553.34115858034
"1995Q3",1615,1591.33541235068
"1995Q4",1663,1610.49354504634
"1996Q1",1378,1620.37433651817
"1996Q2",1807,1644.80431788343
"1996Q3",1730,1688.15077699161
"1996Q4",1725,1681.39145085599
"1997Q1",1449,1695.95728334927
"1997Q2",1930,1714.76068204092
"1997Q3",1677,1719.86028416215
"1997Q4",1819,1744.32428789285
"1998Q1",1487,1724.08864970526
"1998Q2",2051,1757.50282320898
"1998Q3",1567,1678.35247941799
"1998Q4",1803,1743.60502596513
"1999Q1",1549,1754.85922710631
"1999Q2",2051,1824.67917002551
"1999Q3",1845,1893.48149033989
"1999Q4",1949,1954.81468612479
"2000Q1",1922,2089.39715439282
"2000Q2",2245,2067.44961880591
"2000Q3",2124,2083.52517959321
"2000Q4",2091,2079.28148977748
"2001Q1",1776,2039.24125429696
"2001Q2",2225,2092.92158616497
"2001Q3",2249,2141.4146182928
"2001Q4",2162,2131.78294271852
"2002Q1",1912,2106.92138010023
"2002Q2",2166,2086.53336275507
"2002Q3",2137,2103.79730486355
"2002Q4",2084,2116.89203316685
"2003Q1",2166,2256.53902310127
"2003Q2",2301,2220.30862098783
"2003Q3",2278,2263.72197359504
"2003Q4",2344,2316.44501987545
"2004Q1",2114,2293.10890364227
"2004Q2",2458,2351.79184790269
"2004Q3",2745,2723.77564678514
"2004Q4",2754,2744.26114838685
"2005Q1",2670,2824.34783037077
"2005Q2",2841,2695.79307504699
"2005Q3",2777,2785.33568247283
"2005Q4",2778,2827.72227467522
"2006Q1",2578,2889.9426313799
"2006Q2",3601,3099.04780795757
"2006Q3",2978,3007.5789943614
"2006Q4",3000,3064.6846346277
"2007Q1",2744,3125.5139225414
"2007Q2",3493,3144.67848630513
"2007Q3",3329,3185.42645324564
"2007Q4",3207,3214.61253903432
"2008Q1",2800,3271.0113095068
"2008Q2",3495,3360.51081539099
"2008Q3",3080,2794.4698818357
"2008Q4",2866,2747.35872903574
"2009Q1",2335,2717.35699254148
"2009Q2",2589,2600.82149080806
"2009Q3",2847,2650.71845829764
"2009Q4",2901,2702.57164452728
"2010Q1",2221,2645.76681435459
"2010Q2",2858,2752.93218150239
"2010Q3",2986,2823.82765891369
"2010Q4",2965,2846.03263945908
"2011Q1",2512,2883.51587708041
"2011Q2",3013,2839.41817748083
"2011Q3",2921,2829.44178818328
"2011Q4",2877,2825.57624505227
"2012Q1",2459,2839.09150725101
"2012Q2",3131,2872.77373704559
"2012Q3",3004,2916.79280292881
"2012Q4",2996,2954.95063141325
"2013Q1",2538,2945.29677308806
"2013Q2",3376,3040.09679605094
"2013Q3",3104,3045.67519966437
"2013Q4",3051,3074.04499907621
"2014Q1",2840,3189.95705457728
"2014Q2",3495,3205.63207003765
"2014Q3",3363,3315.40846151258
"2014Q4",3385,3367.53315505848
"2015Q1",3027,3412.84537944763
"2015Q2",3847,3464.77316097358
"2015Q3",3418,3454.56707843988
"2015Q4",3563,3526.95376666362
"2016Q1",3124,3547.56123775375
"2016Q2",4044,3600.26571327861
"2016Q3",3581,3593.88939410806
"2016Q4",3616,3606.72741531999
"2017Q1",3207,3643.52849523217
"2017Q2",4112,3703.02822229554
"2017Q3",3762,3734.08457776738
"2017Q4",3852,3853.00386121989
"2018Q1",3481,3936.20153137944
"2018Q2",4391,4004.14815860883
"2018Q3",4356,4212.2337735453
"2018Q4",4123,4254.21398090517
"2019Q1",3891,4422.79378643666
"2019Q2",5177,4535.791830455
"2019Q3",4584,4464.89421943749
"2019Q4",4326,4437.10725532896
"2020Q1",3793,4414.90584378915
