category,state,2001_recession_b,2001_recession_intercept,2008_recession_b,2008_recession_intercept,all_recession_b,all_recession_intercept
AlcoholicBeveragesLicense,AK,,,,,,
AlcoholicBeveragesLicense,AL,,,,,,
AlcoholicBeveragesLicense,AR,,,,,,
AlcoholicBeveragesLicense,AZ,,,,,,
AlcoholicBeveragesLicense,CA,,,,,,
AlcoholicBeveragesLicense,CO,,,,,,
AlcoholicBeveragesLicense,CT,,,,,,
AlcoholicBeveragesLicense,DC,,,,,,
AlcoholicBeveragesLicense,DE,,,,,,
AlcoholicBeveragesLicense,FL,,,,,,
AlcoholicBeveragesLicense,GA,,,,,,
AlcoholicBeveragesLicense,HI,,,,,,
AlcoholicBeveragesLicense,IA,,,,,,
AlcoholicBeveragesLicense,ID,,,,,,
AlcoholicBeveragesLicense,IL,,,,,,
AlcoholicBeveragesLicense,IN,,,,,,
AlcoholicBeveragesLicense,KS,,,,,,
AlcoholicBeveragesLicense,KY,,,,,,
AlcoholicBeveragesLicense,LA,,,,,,
AlcoholicBeveragesLicense,MA,,,,,,
AlcoholicBeveragesLicense,MD,,,,,,
AlcoholicBeveragesLicense,ME,,,,,,
AlcoholicBeveragesLicense,MI,,,,,,
AlcoholicBeveragesLicense,MN,,,,,,
AlcoholicBeveragesLicense,MO,,,,,,
AlcoholicBeveragesLicense,MS,,,,,,
AlcoholicBeveragesLicense,MT,,,,,,
AlcoholicBeveragesLicense,NC,,,,,,
AlcoholicBeveragesLicense,ND,,,,,,
AlcoholicBeveragesLicense,NE,,,,,,
AlcoholicBeveragesLicense,NH,,,,,,
AlcoholicBeveragesLicense,NJ,,,,,,
AlcoholicBeveragesLicense,NM,,,,,,
AlcoholicBeveragesLicense,NV,,,,,,
AlcoholicBeveragesLicense,NY,,,,,,
AlcoholicBeveragesLicense,OH,,,,,,
AlcoholicBeveragesLicense,OK,,,,,,
AlcoholicBeveragesLicense,OR,,,,,,
AlcoholicBeveragesLicense,PA,,,,,,
AlcoholicBeveragesLicense,RI,,,,,,
AlcoholicBeveragesLicense,SC,,,,,,
AlcoholicBeveragesLicense,SD,,,,,,
AlcoholicBeveragesLicense,TN,,,,,,
AlcoholicBeveragesLicense,TX,,,,,,
AlcoholicBeveragesLicense,US,,,,,,
AlcoholicBeveragesLicense,UT,,,,,,
AlcoholicBeveragesLicense,VA,,,,,,
AlcoholicBeveragesLicense,VT,,,,,,
AlcoholicBeveragesLicense,WA,,,,,,
AlcoholicBeveragesLicense,WI,,,,,,
AlcoholicBeveragesLicense,WV,,,,,,
AlcoholicBeveragesLicense,WY,,,,,,
AlcoholicBeveragesSales,AK,0.4123025103007205,0.1767651449669273,-0.2043279098627776,0.01259939503319965,0.5052831277904474,0.07230306128311427
AlcoholicBeveragesSales,AL,0.5291078837727825,0.011141993709049506,-0.0012151404451073784,0.01134120166823072,0.03491571285185869,0.016651692334074465
AlcoholicBeveragesSales,AR,0.33588073740010443,0.04171056878094897,0.005320870262209651,0.004921713099215925,0.07663632910637157,0.022449597181579555
AlcoholicBeveragesSales,AZ,0.07448657260440028,0.0006465712826572586,-0.021777986909289917,0.000785009896600299,-0.0035181943950733886,0.0013386151873452387
AlcoholicBeveragesSales,CA,0.01425998551885574,0.009328164464297267,0.02748775778482778,-0.0032086130434742814,0.016659753875420364,0.002181639009552026
AlcoholicBeveragesSales,CO,0.028239007832599694,0.021789961111579173,-0.06712071432527054,0.020228669461205037,-0.007388058181474788,0.020062583488414575
AlcoholicBeveragesSales,CT,0.11664836865973022,0.012306724261681072,-0.17269082152456303,0.05294526074077345,0.018251723994845755,0.03355706207155408
AlcoholicBeveragesSales,DC,,,,,,
AlcoholicBeveragesSales,DE,-0.06196466807496396,0.039100780628258947,-0.18431785566921283,0.03657885560479251,-0.16671701710796946,0.03779398060649637
AlcoholicBeveragesSales,FL,-0.039934902287176985,0.016058641170148526,0.011006598758693446,-0.021203919933631063,-0.0227162491703497,-0.004856126850234561
AlcoholicBeveragesSales,GA,0.15892760815575294,0.009852785398824105,-0.15626951555722052,0.03378575605255908,-0.06241829959726338,0.023492150058696124
AlcoholicBeveragesSales,HI,0.22236802228539887,0.022758621015895136,-0.018129240558293788,0.002775747390933956,0.015909502620779118,0.00799898061717203
AlcoholicBeveragesSales,IA,0.2649152575117307,-0.011881267418077381,0.061903483464800915,-0.010434958472434218,0.10374346701174383,-0.0062935798177553666
AlcoholicBeveragesSales,ID,-1.2819928405866468,0.06911823116703819,-0.0261153648637787,0.007048537308761772,-0.06348449593005662,0.021742826103819696
AlcoholicBeveragesSales,IL,0.3571215068334645,-0.018891405221278745,-0.13783280568503625,0.06703637568953698,-0.05875786118254789,0.040635374878624654
AlcoholicBeveragesSales,IN,-0.06596091737407454,-0.0088429307748409,-0.11006204555266254,0.03031535069287939,-0.10433332861315463,0.015842989230743516
AlcoholicBeveragesSales,KS,0.03473756812896336,0.01997626231184908,-0.08343887544676776,0.020949099931717757,-0.06191856326074575,0.0229672064322779
AlcoholicBeveragesSales,KY,-0.5478038337035943,0.028021410405724794,-0.003695756557035139,0.015604882926175125,-0.08753330425188448,0.012856527804029783
AlcoholicBeveragesSales,LA,0.1690000450382865,0.04474777751665311,-0.027274202845307637,0.004505905991551519,-0.017351556055498738,0.022316692336138234
AlcoholicBeveragesSales,MA,-0.041075131447242244,0.013512068278251792,-0.40955432609733233,0.025654632567020687,-0.22619390480917625,0.02450456772027048
AlcoholicBeveragesSales,MD,8.538444876696884,-0.30002696473006313,0.0007296452227047641,0.006297192244250033,1.378848376056516,-0.06299582122250628
AlcoholicBeveragesSales,ME,0.33423050300283247,0.026455945426473955,0.2147950214241481,-0.0036224031744920594,0.23851862626052286,0.009238869481634979
AlcoholicBeveragesSales,MI,0.06843366911577481,0.2679977470461385,0.0337359159756316,0.011360188797790532,0.2507612623408414,0.09999322338008151
AlcoholicBeveragesSales,MN,-0.9093517065006106,0.09749829893544198,0.011746359648295353,0.014771301285378891,-0.13059175684884944,0.026947988491377476
AlcoholicBeveragesSales,MO,0.0010925540929651394,0.007600591917903831,0.05618976272084281,0.010903032332858161,0.03620251214171025,0.008863026442844554
AlcoholicBeveragesSales,MS,-0.12666017949002495,0.01903711713563537,-0.009301817559982627,1.1711701836445159e-05,-0.06170668068515197,0.008167217123096916
AlcoholicBeveragesSales,MT,0.6080228979225935,0.025406404503903118,-0.028251082413576736,0.04516791706216121,0.04045806463606007,0.033830966278873324
AlcoholicBeveragesSales,NC,0.02260289511762408,0.010122988828646113,-0.04588282020375525,0.031341779545287524,-0.033845748686700886,0.02455019634843251
AlcoholicBeveragesSales,ND,,,,,,
AlcoholicBeveragesSales,NE,-0.8804206232562479,0.07386730345527162,0.019342605371772244,0.013435416059968874,-0.0956405556352645,0.024250810571653902
AlcoholicBeveragesSales,NH,0.4733770154654739,-0.027908680109441628,0.06071861154451746,-0.04228318930812251,0.20099547616850696,-0.033310941203968304
AlcoholicBeveragesSales,NJ,-0.0920848691637908,0.027186885975474202,-0.1353935032926645,0.05063077983292187,-0.11793095242537839,0.04119998235010258
AlcoholicBeveragesSales,NM,-0.17330798301441605,0.026414708661636956,-0.17324402750119122,0.03690908464413491,-0.167331468678231,0.0325070123468511
AlcoholicBeveragesSales,NV,-0.22803615790164325,0.06989664498848006,-0.1434274633893371,0.023636772186130008,-0.19685098600107492,0.04471422118027945
AlcoholicBeveragesSales,NY,0.006349629559095677,0.006470845853240944,0.023540691356702073,0.018842554743600422,0.02143868477808476,0.013768698361048265
AlcoholicBeveragesSales,OH,1.169230387712792,-0.04387041363768063,-0.0012924771310933896,0.005341420375642265,0.37546456277866674,-0.0025757083761134923
AlcoholicBeveragesSales,OK,0.027285586044513702,0.01137240464455036,-0.10223374556767097,0.029608962296203314,-0.07470446218727096,0.025063758933597316
AlcoholicBeveragesSales,OR,-0.2645956220478241,0.034141508039846565,-0.12655762623014175,0.041568786998421606,-0.15014823514160253,0.03638872464330735
AlcoholicBeveragesSales,PA,0.09553516005112282,0.025556993279387742,0.1511360148937797,0.014734404207626155,0.13941572130580665,0.018681588634837255
AlcoholicBeveragesSales,RI,-1.149237926239074,0.076228492345203,-0.2221941397263182,0.034559592159460466,-0.290167053682838,0.04144418915139952
AlcoholicBeveragesSales,SC,0.4394960370765405,0.006779384004360373,-0.02542733610739814,0.005651324811956749,0.11233143463439967,0.012829246561562894
AlcoholicBeveragesSales,SD,-1.0796458808994704,0.09087409456163775,-0.2667595731115942,0.04119044840036856,-0.38478269896931505,0.048835067111158745
AlcoholicBeveragesSales,TN,0.1309838221756704,0.01441289684736251,-0.06578922377584948,0.021979049351309357,-0.013539069751029361,0.021104266125606144
AlcoholicBeveragesSales,TX,-0.054832324747525335,0.02073057480702368,-0.11381308799399821,0.03145594017117369,-0.09677616275412391,0.027697527203057345
AlcoholicBeveragesSales,US,,,,,,
AlcoholicBeveragesSales,UT,0.12451390060268859,0.010975043296491316,-0.18060369184225347,0.07734554768208719,-0.15241976514964978,0.05835820212125859
AlcoholicBeveragesSales,VA,0.053651335130983156,0.01574372379851422,0.02986463065216549,0.009097503222192646,0.042596902447047606,0.011516117019704352
AlcoholicBeveragesSales,VT,-0.014743796796021169,0.013749139417088512,0.038058701425546654,0.012981813821052016,0.02859360821087671,0.012354259623810857
AlcoholicBeveragesSales,WA,1.0752002965267875,-0.019327163194519686,-0.1584278917099001,0.05562853318949715,-0.0114361188093315,0.04610104318667716
