"time","original","adjusted"
"1994Q1",4716,4445.3542182005
"1994Q2",5266,4537.7765429837
"1994Q3",3978,4542.44995145551
"1994Q4",4197,4583.08678626923
"1995Q1",4996,4676.44961569334
"1995Q2",5394,4701.55326742
"1995Q3",4207,4802.80069245825
"1995Q4",4528,4902.31828014411
"1996Q1",5292,4982.73121762065
"1996Q2",5857,5080.57564564014
"1996Q3",4498,5149.92015181954
"1996Q4",4836,5252.14290898249
"1997Q1",5573,5214.9473033304
"1997Q2",6236,5368.59849206226
"1997Q3",4672,5392.143868947
"1997Q4",4865,5423.08311097194
"1998Q1",6346,5756.18212305066
"1998Q2",6600,5758.21784500563
"1998Q3",5015,5740.48605661727
"1998Q4",5389,5858.79092747693
"1999Q1",6286,5854.02882308222
"1999Q2",6600,5946.41279638939
"1999Q3",5490,6134.83515578473
"1999Q4",5800,6178.85364381711
"2000Q1",6665,6244.83379127967
"2000Q2",6863,6224.57990562228
"2000Q3",5520,6156.48158561639
"2000Q4",5874,6223.93944136204
"2001Q1",6581,6281.33550845411
"2001Q2",6963,6404.8628411754
"2001Q3",5933,6433.56278032996
"2001Q4",6179,6380.32160839618
"2002Q1",6635,6430.42666474935
"2002Q2",6605,6312.86011842266
"2002Q3",6031,6431.54070095665
"2002Q4",6720,6763.03712075627
"2003Q1",6744,6739.34120950138
"2003Q2",7411,7119.95740546865
"2003Q3",7255,7445.00829856282
"2003Q4",7267,7507.48438692555
"2004Q1",7888,7730.99753945551
"2004Q2",8059,7793.3892570044
"2004Q3",7983,8241.0335479968
"2004Q4",8065,8561.49498566573
"2005Q1",9399,9119.3215789249
"2005Q2",10249,9585.5665389161
"2005Q3",9425,9853.7453639618
"2005Q4",9438,9980.32045564669
"2006Q1",10244,10047.8375577339
"2006Q2",10796,10030.1700035004
"2006Q3",9348,10000.4848701634
"2006Q4",9478,9805.16313813923
"2007Q1",9802,9599.50538003727
"2007Q2",10197,9385.02640249724
"2007Q3",8158,8954.11015130478
"2007Q4",8829,9041.78438931881
"2008Q1",8915,8811.42724292273
"2008Q2",9354,8648.5386103568
"2008Q3",8022,8463.30985240589
"2008Q4",7829,8110.1160537426
"2009Q1",7894,7903.9200106111
"2009Q2",8228,7744.1602945041
"2009Q3",7533,7835.46436672284
"2009Q4",7542,7807.50581266317
"2010Q1",7886,7867.53793919426
"2010Q2",8568,7976.4864973536
"2010Q3",7584,8026.95133827976
"2010Q4",7862,8142.74539737729
"2011Q1",8254,8172.96962810561
"2011Q2",8940,8249.87155096086
"2011Q3",7730,8257.68709531094
"2011Q4",7991,8353.91376797444
"2012Q1",8672,8528.63877520955
"2012Q2",9353,8640.17686271663
"2012Q3",8289,8794.27053889721
"2012Q4",8544,8926.22100707458
"2013Q1",9223,9173.82208233486
"2013Q2",9994,9253.43952768061
"2013Q3",8914,9362.94472834454
"2013Q4",9177,9416.70707535242
"2014Q1",9120,9278.44024701782
"2014Q2",10171,9426.52928939371
"2014Q3",8999,9492.19077617443
"2014Q4",9345,9580.78513605749
"2015Q1",9594,9608.02440387102
"2015Q2",10432,9665.9674747616
"2015Q3",9064,9593.6313145065
"2015Q4",9331,9717.54192634944
"2016Q1",10018,9925.05587943934
"2016Q2",10646,10022.1053864899
"2016Q3",9895,10198.9457874226
"2016Q4",9846,10203.3776663846
"2017Q1",10450,10472.1510236458
"2017Q2",10932,10554.1977064476
"2017Q3",10727,10983.3302513328
"2017Q4",11147,11249.1063308715
"2018Q1",10978,11123.3879064181
"2018Q2",11754,11137.3054302936
"2018Q3",10764,11215.0495776311
"2018Q4",10924,11237.4661671958
"2019Q1",11257,11425.2385664137
"2019Q2",12843,11763.5787361582
"2019Q3",11182,11794.9391361722
"2019Q4",11617,12021.8998249397
"2020Q1",12087,12214.1873781425
