"time","original","adjusted"
"1994Q1",3684,3689.26874166469
"1994Q2",4300,3829.65800896241
"1994Q3",3803,3967.24715929793
"1994Q4",3628,3945.20060441067
"1995Q1",4028,4033.55988658479
"1995Q2",4481,3990.85366415024
"1995Q3",4118,4296.26755200482
"1995Q4",3929,4272.43749660127
"1996Q1",4367,4372.77261511751
"1996Q2",4863,4330.63742463239
"1996Q3",4434,4626.88272321054
"1996Q4",4193,4559.39502237576
"1997Q1",4681,4686.98316721337
"1997Q2",5237,4662.74587833358
"1997Q3",4721,4927.87727795389
"1997Q4",4464,4853.81560062105
"1998Q1",4999,5005.26982086953
"1998Q2",5587,4972.98773860623
"1998Q3",4721,4929.71659244963
"1998Q4",4464,4853.32290969671
"1999Q1",4999,5005.37607378153
"1999Q2",5587,4971.53426417079
"1999Q3",5248,5482.27437978366
"1999Q4",5269,5727.72395699285
"2000Q1",6142,6150.21466359269
"2000Q2",7001,6227.40303892186
"2000Q3",5582,5833.59941997696
"2000Q4",5281,5739.81956686269
"2001Q1",5648,5656.40394582643
"2001Q2",6633,5898.3606952224
"2001Q3",5315,5556.39793039916
"2001Q4",5281,5738.52030398169
"2002Q1",5670,5679.12938691723
"2002Q2",6208,5519.43123146445
"2002Q3",5397,5643.60651788028
"2002Q4",5299,5757.0566326206
"2003Q1",5393,5402.22165669172
"2003Q2",6123,5442.58621794948
"2003Q3",5638,5897.35198494718
"2003Q4",5656,6144.6527303012
"2004Q1",6047,6057.39811856248
"2004Q2",6613,5875.82557421006
"2004Q3",6012,6290.87629921744
"2004Q4",5787,6287.52551274267
"2005Q1",6989,7001.37830156471
"2005Q2",7464,6628.25152595216
"2005Q3",6435,6736.0544771846
"2005Q4",6095,6622.36800812168
"2006Q1",6764,6777.51032887526
"2006Q2",8019,7116.8844094123
"2006Q3",6782,7102.01878649138
"2006Q4",6337,6884.7144684307
"2007Q1",7132,7147.94386579599
"2007Q2",8488,7529.41127367685
"2007Q3",6858,7184.53156617872
"2007Q4",6724,7303.69928408748
"2008Q1",7547,7565.58413554858
"2008Q2",8757,7765.3603734681
"2008Q3",6956,7289.66736243111
"2008Q4",6360,6906.18987420353
"2009Q1",6728,6746.10337957879
"2009Q2",8365,7416.73289154641
"2009Q3",6422,6732.03836142237
"2009Q4",6498,7053.12816465986
"2010Q1",7092,7112.00473655024
"2010Q2",7771,6890.43111469764
"2010Q3",7128,7473.82291372174
"2010Q4",7250,7866.43302594021
"2011Q1",7625,7647.29943942795
"2011Q2",9235,8188.39329723088
"2011Q3",8539,8955.75641429627
"2011Q4",8177,8869.77819251447
"2012Q1",9083,9109.58354207579
"2012Q2",10459,9272.92363271719
"2012Q3",8555,8975.82175192959
"2012Q4",8719,9455.22979174357
"2013Q1",9833,9861.78092588693
"2013Q2",11623,10304.5223382426
"2013Q3",9098,9547.85448090018
"2013Q4",9440,10234.364826245
"2014Q1",10046,10075.9179601361
"2014Q2",11338,10052.7348983943
"2014Q3",9391,9856.03513809574
"2014Q4",9317,10098.8439110968
"2015Q1",9622,9651.0883143606
"2015Q2",11510,10206.7602770165
"2015Q3",9263,9721.5666343208
"2015Q4",9153,9919.5645016888
"2016Q1",9871,9900.61709494355
"2016Q2",10620,9419.56330250673
"2016Q3",9059,9506.78666849171
"2016Q4",8845,9584.80429615394
"2017Q1",8968,8994.72745442934
"2017Q2",9792,8686.3545794216
"2017Q3",9163,9615.54312484237
"2017Q4",9141,9905.78956593509
"2018Q1",10184,10213.8592654073
"2018Q2",11374,10089.1065594675
"2018Q3",10041,10537.2412442014
"2018Q4",9721,10535.4519634926
"2019Q1",10174,10203.4664820408
"2019Q2",12570,11148.6026922754
"2019Q3",10291,10800.3452668047
"2019Q4",10149,11000.5357071762
"2020Q1",12039,12072.6748549242
