"time","original","adjusted"
"1994Q1",2755,2760.81165278555
"1994Q2",3174,2732.88859543559
"1994Q3",2670,2832.81315611713
"1994Q4",2509,2797.34361005704
"1995Q1",3060,3067.89391758419
"1995Q2",3330,2865.50115746178
"1995Q3",2894,3071.25868138161
"1995Q4",2675,2980.12134859454
"1996Q1",3128,3141.63089378508
"1996Q2",3756,3227.5606937599
"1996Q3",2954,3136.90065165878
"1996Q4",3052,3395.45777873934
"1997Q1",3303,3324.63525294884
"1997Q2",3997,3430.7901836539
"1997Q3",3194,3391.28728952765
"1997Q4",3194,3550.74557160543
"1998Q1",3657,3688.74806321904
"1998Q2",4449,3815.85198108633
"1998Q3",3536,3750.92466448675
"1998Q4",3370,3743.47998724674
"1999Q1",3652,3691.80617821142
"1999Q2",4449,3815.48383774037
"1999Q3",3603,3817.81153615669
"1999Q4",3657,4059.13870969605
"2000Q1",4056,4107.57822692738
"2000Q2",4833,4145.08312501091
"2000Q3",4036,4270.49408441407
"2000Q4",3741,4150.56853899261
"2001Q1",4410,4475.26507545987
"2001Q2",5063,4342.28034166115
"2001Q3",3766,3978.3475890025
"2001Q4",3494,3871.29596494262
"2002Q1",3772,3839.57627500113
"2002Q2",3789,3252.33184415473
"2002Q3",3820,4026.99059655124
"2002Q4",3564,3940.36968451527
"2003Q1",3995,4078.5013217176
"2003Q2",4230,3633.92349826649
"2003Q3",3957,4165.75644853568
"2003Q4",3788,4179.14888732494
"2004Q1",4000,4098.12919828865
"2004Q2",4954,4250.59205669406
"2004Q3",4189,4408.73651917408
"2004Q4",4042,4452.4266130249
"2005Q1",4335,4455.59029712086
"2005Q2",5296,4535.90623432647
"2005Q3",4376,4606.2387222762
"2005Q4",4487,4937.04950433188
"2006Q1",4590,4730.84231252655
"2006Q2",5842,4993.77651648142
"2006Q3",4645,4888.51342721863
"2006Q4",4466,4912.47753650311
"2007Q1",5010,5175.61731110403
"2007Q2",6383,5449.05804820512
"2007Q3",5108,5372.75804273307
"2007Q4",4577,5029.06011832242
"2008Q1",5519,5716.13222807877
"2008Q2",6788,5794.44753845797
"2008Q3",5065,5324.19762042803
"2008Q4",4619,5058.39416128032
"2009Q1",4618,4798.83873890135
"2009Q2",5184,4430.31315329277
"2009Q3",4603,4836.44880000259
"2009Q4",4767,5202.54377204741
"2010Q1",4776,4978.54642456621
"2010Q2",5729,4893.51584774112
"2010Q3",5063,5319.74061139903
"2010Q4",5231,5700.06270913854
"2011Q1",5105,5336.51156275104
"2011Q2",6527,5563.43686526121
"2011Q3",5367,5640.19306106967
"2011Q4",5144,5605.03284747504
"2012Q1",5196,5441.874502385
"2012Q2",6863,5837.09992856744
"2012Q3",5397,5674.05215426355
"2012Q4",5400,5885.68805335436
"2013Q1",5594,5864.04347653313
"2013Q2",7296,6196.90545210089
"2013Q3",5864,6165.99297790365
"2013Q4",5650,6160.62019289778
"2014Q1",6049,6343.55494349576
"2014Q2",7340,6229.23226364877
"2014Q3",6033,6344.33014905462
"2014Q4",6111,6665.37751357564
"2015Q1",6506,6827.72912609276
"2015Q2",8024,6802.00343979999
"2015Q3",6372,6698.28310543424
"2015Q4",6182,6746.42997960183
"2016Q1",6542,6874.41820667217
"2016Q2",8012,6784.27455538806
"2016Q3",6521,6849.43759410803
"2016Q4",6180,6746.47442299566
"2017Q1",6505,6846.80733419125
"2017Q2",7981,6749.76653861292
"2017Q3",6692,7024.62460682722
"2017Q4",6981,7624.01906700397
"2018Q1",6830,7200.72124289636
"2018Q2",8838,7460.48893116484
"2018Q3",7382,7743.72776703636
"2018Q4",6817,7456.07729239566
"2019Q1",7249,7650.05328233543
"2019Q2",9999,8425.28688996762
"2019Q3",7616,7987.25059532649
"2019Q4",7119,7792.67503500032
"2020Q1",7530,7948.9086224936
