"time","original","adjusted"
"1994Q1",3070,3521.52331881592
"1994Q2",3399,3173.47938233832
"1994Q3",4165,3602.99497357376
"1994Q4",2857,3150.90150526041
"1995Q1",3070,3531.02119621174
"1995Q2",3399,3193.37594744708
"1995Q3",4165,3893.10263644611
"1995Q4",2857,2984.80717219233
"1996Q1",5394,5158.16949346824
"1996Q2",4054,4345.68863963008
"1996Q3",4466,4847.15625704092
"1996Q4",5273,4886.04399065257
"1997Q1",5394,5015.56089903364
"1997Q2",4555,4820.82730773986
"1997Q3",4732,4926.88128209079
"1997Q4",4848,4802.06841850898
"1998Q1",4884,4806.5222086855
"1998Q2",5152,5144.82932890765
"1998Q3",4817,4817.24052683379
"1998Q4",5485,5499.71612845264
"1999Q1",4710,4753.90422492535
"1999Q2",5799,5544.56766426547
"1999Q3",5127,5437.20148250623
"1999Q4",5050,5430.85211704873
"2000Q1",6828,6242.96547517351
"2000Q2",5740,5428.64871358496
"2000Q3",5619,5872.12373738495
"2000Q4",4929,5239.02564588511
"2001Q1",5581,5694.25793215659
"2001Q2",5398,5309.67413164304
"2001Q3",6274,5829.26972822264
"2001Q4",5429,5349.39117555083
"2002Q1",5134,5658.78530285662
"2002Q2",5093,5431.24656654333
"2002Q3",6208,5615.79363587136
"2002Q4",6109,5538.95922004569
"2003Q1",4935,5607.17747758847
"2003Q2",4952,5821.31215424563
"2003Q3",6063,5160.88085148834
"2003Q4",7443,6309.45143611979
"2004Q1",3420,4715.46372658861
"2004Q2",5271,6159.27379269337
"2004Q3",6128,4906.13236789976
"2004Q4",6748,5723.60580447525
"2005Q1",4308,5984.54727775806
"2005Q2",4385,5527.34349782799
"2005Q3",8813,6381.66127950602
"2005Q4",6883,6017.18502107044
"2006Q1",2969,5647.63690331505
"2006Q2",5780,6241.53635883252
"2006Q3",8082,5623.9413211874
"2006Q4",6442,6092.37686289986
"2007Q1",3381,5739.73773486997
"2007Q2",5985,6257.82062893557
"2007Q3",8041,5830.31770496427
"2007Q4",6749,6426.17005660715
"2008Q1",3875,6199.06117816083
"2008Q2",6204,6459.64247171982
"2008Q3",8664,6239.02245088182
"2008Q4",6549,6257.02924918971
"2009Q1",3234,5578.82713940035
"2009Q2",5769,6028.19486322388
"2009Q3",7206,5194.93507755952
"2009Q4",6247,5881.14078419601
"2010Q1",3286,5232.30834162694
"2010Q2",5500,5781.35282973279
"2010Q3",7172,5392.20422116479
"2010Q4",6177,5908.82894832798
"2011Q1",3974,5718.22488637051
"2011Q2",5985,6244.68037350784
"2011Q3",7686,6099.74263578549
"2011Q4",6570,6052.20044626286
"2012Q1",4847,6245.08796105509
"2012Q2",4942,5658.88732226436
"2012Q3",7561,6243.54737974867
"2012Q4",6440,5858.23653526072
"2013Q1",5190,6469.10290419653
"2013Q2",5518,5970.51200646381
"2013Q3",7788,6277.15077004508
"2013Q4",6315,6014.07050488024
"2014Q1",4454,6157.95916910286
"2014Q2",6036,6322.84803286643
"2014Q3",8294,6592.60067756828
"2014Q4",6721,6293.61608278144
"2015Q1",5449,7160.79258174474
"2015Q2",5533,6164.39216809503
"2015Q3",9254,7154.42686619644
"2015Q4",6945,6467.32446639831
"2016Q1",4699,6997.17861433991
"2016Q2",6370,6753.6294851506
"2016Q3",9595,7214.06697697948
"2016Q4",7274,7042.34671251199
"2017Q1",4833,7042.15686093804
"2017Q2",7194,7259.78397766952
"2017Q3",9142,7340.62055559103
"2017Q4",7313,7303.06798709719
"2018Q1",6256,7666.95105463844
"2018Q2",7489,7627.08501812757
"2018Q3",8747,7510.2953494683
"2018Q4",7988,7561.63398679112
"2019Q1",6413,7795.75526759423
"2019Q2",6664,7328.0075690602
"2019Q3",9185,7298.32026335604
"2019Q4",8235,7574.5371797742
"2020Q1",4352,6763.88857972807
