"time","original","adjusted"
"1994Q1",3357,3722.37166207726
"1994Q2",4666,3648.51893007019
"1994Q3",2953,3535.21439317804
"1994Q4",3339,3493.98637597026
"1995Q1",2953,3433.03021656673
"1995Q2",4300,3333.16815707777
"1995Q3",2948,3414.72422232062
"1995Q4",3228,3387.42592213661
"1996Q1",2759,3326.23592110007
"1996Q2",5388,4017.201769244
"1996Q3",2980,3479.99169328555
"1996Q4",3253,3512.86300456834
"1997Q1",2973,3520.40376870133
"1997Q2",5197,3740.68223949865
"1997Q3",3054,3696.43665033436
"1997Q4",3434,3794.51738142019
"1998Q1",3551,4023.44782485252
"1998Q2",5550,4064.71515499118
"1998Q3",3394,4147.30593574583
"1998Q4",3880,4197.07022037828
"1999Q1",3832,4278.36239180921
"1999Q2",5536,4203.13432325679
"1999Q3",3551,4354.95753165726
"1999Q4",4227,4514.89037389542
"2000Q1",4030,4490.22169261865
"2000Q2",6289,4789.33859650814
"2000Q3",3923,4753.15539202244
"2000Q4",4502,4902.05048990631
"2001Q1",4522,4957.41415657858
"2001Q2",6297,4851.69591370238
"2001Q3",4112,4843.41506546529
"2001Q4",4161,4576.59228978116
"2002Q1",4258,4749.19998874351
"2002Q2",5829,4590.73868947379
"2002Q3",4142,4838.6218078422
"2002Q4",4696,4998.43711839187
"2003Q1",4340,4913.78795461945
"2003Q2",6756,5249.95390112051
"2003Q3",4326,5151.55615706902
"2003Q4",5046,5340.96818248709
"2004Q1",4825,5498.96326337823
"2004Q2",7135,5432.35274613094
"2004Q3",4799,5752.98144144537
"2004Q4",5458,5927.16858381208
"2005Q1",5303,6049.43831506169
"2005Q2",8719,6391.01368987556
"2005Q3",5416,6516.5310651154
"2005Q4",5865,6505.24307910395
"2006Q1",5897,6671.54823405063
"2006Q2",9460,6824.52445818489
"2006Q3",5562,6932.07876938337
"2006Q4",6500,7210.1331082782
"2007Q1",6780,7565.83017670417
"2007Q2",10644,7515.08778901092
"2007Q3",6075,7597.9155112207
"2007Q4",6945,7749.22649945698
"2008Q1",6557,7603.86348479552
"2008Q2",11039,7641.2989504149
"2008Q3",6087,7304.83842010841
"2008Q4",6257,6983.78936355855
"2009Q1",5520,6616.62542863729
"2009Q2",9210,6534.76516353677
"2009Q3",5501,6532.19504490906
"2009Q4",5812,6394.80387770561
"2010Q1",5594,6530.90023351972
"2010Q2",8995,6485.95862988517
"2010Q3",5481,6861.04510278628
"2010Q4",6285,6719.04954631729
"2011Q1",6047,6650.20768383576
"2011Q2",9370,6611.03297707151
"2011Q3",4575,6385.22827283133
"2011Q4",6206,6729.57679292509
"2012Q1",6433,6690.05654404656
"2012Q2",10242,6816.92720690362
"2012Q3",4676,6871.48930340364
"2012Q4",6116,6890.11549774798
"2013Q1",7050,7162.89475955215
"2013Q2",11235,7348.43766093972
"2013Q3",4930,7211.22379123507
"2013Q4",6466,7295.39749740612
"2014Q1",7278,7442.43878511319
"2014Q2",10892,7298.26591888409
"2014Q3",5277,7624.13884903888
"2014Q4",6988,7738.60411435934
"2015Q1",7457,7735.95913320629
"2015Q2",11845,7935.80669157888
"2015Q3",5491,7848.49264808445
"2015Q4",7089,7815.89874933586
"2016Q1",7410,7779.39655044951
"2016Q2",11581,7802.34932978432
"2016Q3",5507,7920.82411727655
"2016Q4",7306,7953.35448540362
"2017Q1",7845,8232.74164342629
"2017Q2",12219,8208.93986337592
"2017Q3",5791,8337.69779391816
"2017Q4",8019,8811.98691004296
"2018Q1",8112,8579.16574824774
"2018Q2",13605,8879.26063487466
"2018Q3",6360,9068.08126556166
"2018Q4",7803,8959.98212422764
"2019Q1",8870,9405.58265622357
"2019Q2",15024,9529.25590506525
"2019Q3",6812,9601.18009035768
"2019Q4",8305,9720.93147706238
"2020Q1",9199,9772.67490080985
