"time","original","adjusted"
"1994Q1",7824,7615.54055694273
"1994Q2",9399,8968.64536740159
"1994Q3",8126,8372.16564017406
"1994Q4",7962,8411.32370089835
"1995Q1",7812,7569.65663720059
"1995Q2",8406,8070.6434921519
"1995Q3",8356,8623.95434080207
"1995Q4",8127,8581.64813524901
"1996Q1",9121,8756.60412237865
"1996Q2",8548,8252.88132713298
"1996Q3",8684,8998.90139769671
"1996Q4",8399,8879.72871540618
"1997Q1",9428,8965.20138318197
"1997Q2",8755,8470.59872145371
"1997Q3",8656,9023.10183324315
"1997Q4",8734,9254.95878506368
"1998Q1",9998,9428.10758346493
"1998Q2",9837,9506.29395334447
"1998Q3",9193,9644.73129243956
"1998Q4",9175,9750.85826341008
"1999Q1",10482,9810.6717739515
"1999Q2",10286,9919.89434572121
"1999Q3",9562,10096.8480267238
"1999Q4",10008,10672.8693257312
"2000Q1",11763,10928.1097905178
"2000Q2",11531,11092.4303184534
"2000Q3",10337,10975.8377816334
"2000Q4",10207,10924.9164948762
"2001Q1",12753,11776.5404118038
"2001Q2",12355,11870.1500664701
"2001Q3",9514,10126.0672429058
"2001Q4",10358,11121.208475023
"2002Q1",11141,10247.2360446522
"2002Q2",10054,9665.68149770936
"2002Q3",9881,10512.8503563127
"2002Q4",9467,10208.1708163645
"2003Q1",11049,10117.9814706846
"2003Q2",9564,9193.76828165942
"2003Q3",11369,12102.7858741904
"2003Q4",11316,12266.1415486408
"2004Q1",13518,12294.1155538551
"2004Q2",12095,11605.8162355303
"2004Q3",11535,12324.0096080228
"2004Q4",11862,12949.7702526317
"2005Q1",14577,13161.0323664609
"2005Q2",14136,13503.3256899446
"2005Q3",12693,13607.8181140738
"2005Q4",12196,13419.1900663522
"2006Q1",15519,13921.500175665
"2006Q2",15739,14977.8352547235
"2006Q3",13133,14118.1020021779
"2006Q4",13273,14699.0809415921
"2007Q1",17381,15495.6621305588
"2007Q2",15905,15110.1337762228
"2007Q3",14151,15235.5254028971
"2007Q4",13191,14676.7960291964
"2008Q1",18257,16206.4916411643
"2008Q2",18097,17199.7739607978
"2008Q3",14763,15894.7030831104
"2008Q4",13168,14664.0177081552
"2009Q1",15200,13441.9912422881
"2009Q2",14119,13473.3862724224
"2009Q3",13413,14477.1163461795
"2009Q4",12932,14383.2908408315
"2010Q1",17542,15424.0775397318
"2010Q2",14315,13682.5767003347
"2010Q3",14145,15335.4070046936
"2010Q4",15328,17063.174219781
"2011Q1",20216,17712.4470519988
"2011Q2",18728,17840.1888705902
"2011Q3",16263,17688.9296697397
"2011Q4",16030,17892.3069637707
"2012Q1",20109,17606.3126480865
"2012Q2",18477,17517.637062917
"2012Q3",16424,17908.7385090161
"2012Q4",16569,18557.7225783565
"2013Q1",21647,18937.0507833322
"2013Q2",20972,19786.182851328
"2013Q3",16934,18487.9878537537
"2013Q4",16446,18482.9506079645
"2014Q1",22418,19618.3956212769
"2014Q2",20568,19346.6369161722
"2014Q3",17332,18908.2613886311
"2014Q4",17354,19540.8617893468
"2015Q1",23060,20216.098465982
"2015Q2",22466,21104.7863112135
"2015Q3",19465,21187.2671213776
"2015Q4",18074,20361.1909686095
"2016Q1",22069,19377.1194380138
"2016Q2",21707,20405.6272870033
"2016Q3",18902,20554.7169548209
"2016Q4",18268,20580.5474824498
"2017Q1",22876,20063.2562227448
"2017Q2",20624,19396.3866762942
"2017Q3",19374,21084.0207411369
"2017Q4",20747,23430.4048229447
"2018Q1",26223,22948.7706131695
"2018Q2",22123,20724.6006382
"2018Q3",19850,21619.1226499073
"2018Q4",18143,20613.6779960688
"2019Q1",24941,21828.3928542734
"2019Q2",26404,24594.7641433541
"2019Q3",20731,22567.3014160755
"2019Q4",19214,21909.8333399319
"2020Q1",26248,22987.0812951838
