"time","original","adjusted"
"1994Q1",2464,2603.90222113869
"1994Q2",3099,2761.25737452903
"1994Q3",2638,2748.82375901003
"1994Q4",2704,2789.29117014441
"1995Q1",2785,2940.28538897447
"1995Q2",3025,2697.32978541996
"1995Q3",2840,2959.64662764199
"1995Q4",2819,2907.39552892726
"1996Q1",2894,3058.7463344737
"1996Q2",3448,3068.06697300227
"1996Q3",2947,3074.68440734419
"1996Q4",3065,3158.25198323019
"1997Q1",3060,3242.27321612152
"1997Q2",3710,3293.44030871209
"1997Q3",3044,3176.93246553239
"1997Q4",3359,3458.28573047125
"1998Q1",3183,3383.09142177886
"1998Q2",4048,3588.17408864091
"1998Q3",3541,3689.48840003862
"1998Q4",3463,3566.14690089948
"1999Q1",3468,3693.64098307199
"1999Q2",4259,3773.2510070337
"1999Q3",3614,3762.54550821343
"1999Q4",3644,3748.6292002443
"2000Q1",3695,3943.44644888576
"2000Q2",4352,3855.95630649487
"2000Q3",3674,3821.56333117549
"2000Q4",3749,3848.18140379303
"2001Q1",3638,3896.03520800391
"2001Q2",4612,4088.38603416281
"2001Q3",3711,3853.14157374285
"2001Q4",3806,3894.97311607811
"2002Q1",3731,4010.0283362342
"2002Q2",4288,3810.04893625752
"2002Q3",3980,4121.43544561884
"2002Q4",3920,3997.13363151965
"2003Q1",3668,3959.60658857222
"2003Q2",4281,3804.94320112265
"2003Q3",4089,4232.62719051652
"2003Q4",4211,4280.69643596481
"2004Q1",3884,4210.12971151032
"2004Q2",4652,4120.93663423328
"2004Q3",4317,4477.44332908201
"2004Q4",4490,4558.3315812433
"2005Q1",4165,4531.63270855525
"2005Q2",5665,4989.80869567653
"2005Q3",4636,4822.93091734141
"2005Q4",5033,5107.04661724351
"2006Q1",4662,5083.27754219873
"2006Q2",6272,5504.19658912001
"2006Q3",5127,5343.5010165012
"2006Q4",5425,5504.47629083906
"2007Q1",5136,5604.2116607944
"2007Q2",6923,6069.00686128368
"2007Q3",5367,5595.93919841298
"2007Q4",5448,5522.97291983928
"2008Q1",5079,5541.21419316677
"2008Q2",6886,6054.94753478457
"2008Q3",5190,5405.36685030062
"2008Q4",5236,5292.80975614809
"2009Q1",4691,5109.21966381902
"2009Q2",5380,4764.46061375978
"2009Q3",5017,5216.8674834542
"2009Q4",5756,5805.51529868359
"2010Q1",5037,5473.46078769514
"2010Q2",5670,5037.24763919562
"2010Q3",5374,5580.61860943901
"2010Q4",5577,5640.14474734055
"2011Q1",5172,5611.26944228909
"2011Q2",6247,5540.03433875141
"2011Q3",5530,5740.12774450381
"2011Q4",5552,5639.00271343273
"2012Q1",5218,5653.86493992798
"2012Q2",6382,5640.87087974404
"2012Q3",5692,5912.71049825484
"2012Q4",5807,5923.55533913868
"2013Q1",5341,5776.84449310833
"2013Q2",6899,6072.24717289225
"2013Q3",5882,6122.65468902723
"2013Q4",5906,6053.43016078296
"2014Q1",5185,5586.42837847552
"2014Q2",6392,5603.80450410655
"2014Q3",5595,5844.91069801697
"2014Q4",5761,5942.47814670375
"2015Q1",6004,6432.37275371818
"2015Q2",7552,6587.3239009624
"2015Q3",6093,6388.45483412542
"2015Q4",6061,6286.96299954982
"2016Q1",6191,6605.35873729656
"2016Q2",7752,6738.34142988322
"2016Q3",6333,6659.55304813965
"2016Q4",6371,6631.10993288125
"2017Q1",6410,6815.31486024416
"2017Q2",7637,6622.52757263362
"2017Q3",6323,6667.11811800415
"2017Q4",6495,6778.14203787245
"2018Q1",6952,7377.06202133754
"2018Q2",7973,6891.91079959005
"2018Q3",6637,7010.24929370709
"2018Q4",6751,7057.83185629513
"2019Q1",6732,7152.29290834359
"2019Q2",9083,7821.88802702887
"2019Q3",6895,7288.81465787099
"2019Q4",7014,7337.7479982532
"2020Q1",6918,7355.19700324356
