"time","original","adjusted"
"1994Q1",3780,3522.16459184002
"1994Q2",4170,3565.96238460906
"1994Q3",2959,3536.46325078146
"1994Q4",3391,3641.82254391123
"1995Q1",3780,3513.8800944959
"1995Q2",4170,3572.74352674207
"1995Q3",2959,3519.45942374994
"1995Q4",3506,3805.78488386824
"1996Q1",4261,3945.65524578124
"1996Q2",4682,4012.84113818421
"1996Q3",3550,4160.43064036805
"1996Q4",3652,4018.81642910414
"1997Q1",4502,4174.46976875714
"1997Q2",4716,4042.45160239644
"1997Q3",3687,4275.03472864871
"1997Q4",3964,4408.27081361146
"1998Q1",4770,4440.43606425347
"1998Q2",5320,4512.77741756473
"1998Q3",4147,4786.91160448431
"1998Q4",4219,4750.47169331217
"1999Q1",5244,4905.14954739056
"1999Q2",5962,4976.51645255499
"1999Q3",4074,4692.44866700631
"1999Q4",4176,4741.02708679481
"2000Q1",5758,5474.56915912746
"2000Q2",6500,5379.11051960072
"2000Q3",4460,5039.85531877666
"2000Q4",4488,5044.52594263379
"2001Q1",4846,4767.99027143905
"2001Q2",6002,5016.61460647564
"2001Q3",4501,4947.76955842623
"2001Q4",4583,5071.72769712665
"2002Q1",4841,4878.54961979336
"2002Q2",6205,5291.95824082923
"2002Q3",4899,5237.96749572195
"2002Q4",4844,5306.89114516545
"2003Q1",5095,5177.00537932711
"2003Q2",5814,5090.33253143022
"2003Q3",5299,5551.45842466946
"2003Q4",4791,5205.71156565589
"2004Q1",5688,5799.39811606477
"2004Q2",6671,5964.99222127896
"2004Q3",5800,6009.83867150398
"2004Q4",5809,6187.15539125914
"2005Q1",5797,5957.88246813548
"2005Q2",5894,5348.66476532939
"2005Q3",5921,6139.51998999413
"2005Q4",5810,6112.18696821182
"2006Q1",5760,5965.7942866943
"2006Q2",7025,6309.60014914596
"2006Q3",5756,6015.78878061789
"2006Q4",5948,6253.3188179332
"2007Q1",5947,6183.45249833245
"2007Q2",7494,6682.83255316256
"2007Q3",6275,6587.94268564812
"2007Q4",6269,6570.77039692073
"2008Q1",7064,7347.99187841968
"2008Q2",7992,7158.67476463835
"2008Q3",5995,6298.38218337489
"2008Q4",6023,6226.66328958452
"2009Q1",5639,5904.85336721247
"2009Q2",6350,5708.98833992897
"2009Q3",5450,5758.85841512398
"2009Q4",5933,6091.23797192538
"2010Q1",5338,5596.11758016449
"2010Q2",6707,5990.91668444144
"2010Q3",5812,6188.34182427536
"2010Q4",5843,6031.8303684157
"2011Q1",6424,6686.82889732412
"2011Q2",7164,6340.47306557433
"2011Q3",5889,6325.8178098475
"2011Q4",6311,6533.48345049983
"2012Q1",6179,6448.92791953684
"2012Q2",7495,6565.33356077115
"2012Q3",5975,6433.99732477696
"2012Q4",6430,6674.57345392228
"2013Q1",6472,6800.90636778803
"2013Q2",8365,7291.25526322334
"2013Q3",6446,6888.16328261984
"2013Q4",6520,6760.97512677694
"2014Q1",6602,6992.74070133634
"2014Q2",7452,6544.81150233328
"2014Q3",6583,6966.80893053297
"2014Q4",6819,7027.07620598715
"2015Q1",6545,7006.85866921982
"2015Q2",8350,7346.01035149252
"2015Q3",7011,7371.88261296434
"2015Q4",7081,7253.01161804763
"2016Q1",6495,6999.97122748765
"2016Q2",8108,7158.41857718602
"2016Q3",6832,7187.8948645438
"2016Q4",7223,7370.16148360435
"2017Q1",6932,7452.19587739014
"2017Q2",8420,7460.74284550235
"2017Q3",6903,7251.02637937218
"2017Q4",7205,7350.49478116734
"2018Q1",6838,7350.76267791889
"2018Q2",8123,7235.31204104897
"2018Q3",7164,7479.93094171594
"2018Q4",7418,7577.32954116543
"2019Q1",7095,7635.87855732547
"2019Q2",8748,7803.741611927
"2019Q3",7697,7999.16964294371
"2019Q4",7764,7949.4813401101
"2020Q1",7515,8090.82628403612
