"time","original","adjusted"
"1994Q1",4976,4393.56001179819
"1994Q2",4864,4364.16153094537
"1994Q3",4000,4443.37519203031
"1994Q4",3888,4567.6214572574
"1995Q1",5184,4594.36660388227
"1995Q2",5141,4579.47259473125
"1995Q3",4067,4495.92261608555
"1995Q4",3778,4464.15933435411
"1996Q1",5032,4499.29317846502
"1996Q2",5185,4598.05602518238
"1996Q3",4304,4722.79567205399
"1996Q4",4056,4803.77754822858
"1997Q1",5386,4843.95525432367
"1997Q2",5514,4870.43836078241
"1997Q3",4501,4920.81938309834
"1997Q4",4072,4831.92490458228
"1998Q1",5557,5034.58950649672
"1998Q2",5714,5020.42487566993
"1998Q3",4766,5212.56668161402
"1998Q4",4544,5366.40994872479
"1999Q1",5785,5291.90146392731
"1999Q2",6309,5492.62530822856
"1999Q3",4960,5440.15033317686
"1999Q4",4761,5634.42476534573
"2000Q1",6049,5546.18381541917
"2000Q2",6650,5763.58930904704
"2000Q3",5180,5666.35010203386
"2000Q4",4593,5461.84588250922
"2001Q1",6240,5699.44947524196
"2001Q2",6559,5739.22658226958
"2001Q3",5102,5556.29228102264
"2001Q4",4751,5596.22235999084
"2002Q1",6063,5527.48996050547
"2002Q2",6219,5557.14850582202
"2002Q3",5342,5787.68344189393
"2002Q4",5046,5879.74012872527
"2003Q1",6480,5871.76363823635
"2003Q2",6319,5715.73139417957
"2003Q3",5537,6006.78300956608
"2003Q4",5332,6218.2717166631
"2004Q1",7018,6334.07651614062
"2004Q2",7237,6511.79158282302
"2004Q3",6124,6659.51668550556
"2004Q4",5743,6747.52643685031
"2005Q1",7616,6857.60216687646
"2005Q2",7779,6941.20995483566
"2005Q3",6513,7115.25158822964
"2005Q4",6039,7144.79228933954
"2006Q1",8052,7219.38956277184
"2006Q2",8446,7475.50091387929
"2006Q3",6742,7418.11022706269
"2006Q4",6370,7573.04440364097
"2007Q1",8759,7803.59021409921
"2007Q2",8967,7925.76193581301
"2007Q3",7248,8003.847106646
"2007Q4",6722,7994.93986115471
"2008Q1",9029,8000.97856174024
"2008Q2",9125,8102.47452244257
"2008Q3",7085,7845.24829254425
"2008Q4",6478,7673.87598255847
"2009Q1",8534,7507.91020882736
"2009Q2",7904,7072.34900345126
"2009Q3",6644,7399.83776431233
"2009Q4",6315,7472.94231133448
"2010Q1",8517,7439.15438212561
"2010Q2",9039,8062.58411280634
"2010Q3",7006,7874.61582645592
"2010Q4",6751,8002.68089444895
"2011Q1",9503,8180.05941810835
"2011Q2",9085,8177.57281245115
"2011Q3",7213,8154.12778646083
"2011Q4",6856,8102.78556674542
"2012Q1",9892,8412.92258337151
"2012Q2",9016,8223.87226731799
"2012Q3",7337,8310.1775403453
"2012Q4",7253,8495.97429665953
"2013Q1",10045,8532.90869504244
"2013Q2",9284,8548.1551178699
"2013Q3",7486,8450.68843130279
"2013Q4",7316,8502.75765998535
"2014Q1",10071,8594.55717723108
"2014Q2",9256,8604.10553858738
"2014Q3",7946,8913.62138132092
"2014Q4",7888,9105.53730748699
"2015Q1",10441,8937.69812263852
"2015Q2",9766,9119.85297932234
"2015Q3",8275,9267.35417805012
"2015Q4",7926,9139.02082284186
"2016Q1",11240,9628.92692226833
"2016Q2",9881,9222.08430204848
"2016Q3",8209,9185.82335637643
"2016Q4",8171,9364.42226434434
"2017Q1",10981,9563.79012310959
"2017Q2",10399,9658.55054911084
"2017Q3",8727,9676.39343706792
"2017Q4",8815,10024.5500720067
"2018Q1",11081,9879.65913088439
"2018Q2",10770,9948.17098470559
"2018Q3",9397,10287.966885664
"2018Q4",8971,10188.2676258307
"2019Q1",11311,10279.2972352008
"2019Q2",11703,10729.3843729686
"2019Q3",9860,10721.8776110094
"2019Q4",9502,10758.7739958128
"2020Q1",11541,10589.8398297761
