Level: State and Local
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R04) Gen Rev-Own Sources
United States,1993,$     1270826852,$      842980745
United States,1994,$     1331492151,$      884998088
United States,1995,$     1417924528,$      940733201
United States,1996,$     1513633310,$      987930196
United States,1997,$     1616495229,$     1044390540
United States,1998,$     1720889368,$     1110713868
United States,1999,$     1794121421,$     1163401016
United States,2000,$     1942328438,$     1249372731
United States,2001,$     1890891484,$     1323127680
United States,2002,$     1806591592,$     1324332862
United States,2003,$     2047337010,$     1373948193
United States,2004,$     2434155253,$     1464285179
United States,2005,$     2528546342,$     1587475895
United States,2006,$     2742151182,$     1744499409
United States,2007,$     3067232228,$     1864771282
United States,2008,$     2620868024,$     1944536413
United States,2009,$     2098595407,$     1891722595
United States,2010,$     3180023050,$     1887045067
United States,2011,$     3440608614,$     1970431392
United States,2012,$     2992556766,$     2018141652
United States,2013,$     3432010291,$     2104201271
United States,2014,$     3629158592,$     2166084779
United States,2015,$     3416065033,$     2262308062
United States,2016,$     3408694937,$     2324383039
United States,2017,$     3918842777,$     2408610360
Alabama,1993,$       16962122,$       10590817
Alabama,1994,$       17647663,$       11281190
Alabama,1995,$       18765222,$       11933904
Alabama,1996,$       19617195,$       12598611
Alabama,1997,$       21191193,$       13154372
Alabama,1998,$       22400024,$       13901947
Alabama,1999,$       23620939,$       14670904
Alabama,2000,$       25726452,$       15924994
Alabama,2002,$       24112550,$       16850333
Alabama,2004,$       31898043,$       18696021
Alabama,2005,$       33376997,$       20083601
Alabama,2006,$       35746030,$       21890345
Alabama,2007,$       39996278,$       23664524
Alabama,2008,$       30966318,$       24302443
Alabama,2009,$       33896509,$       24009166
Alabama,2010,$       42188979,$       24606362
Alabama,2011,$       41381661,$       25369152
Alabama,2012,$       44473033,$       24628187
Alabama,2013,$       46031370,$       25402150
Alabama,2014,$       44391144,$       25682485
Alabama,2015,$       43614708,$       27537374
Alabama,2016,$       46651306,$       28292517
Alabama,2017,$       49899502,$       29037979
Florida,1993,$       60335568,$       42518391
Florida,1994,$       64413148,$       46389132
Florida,1995,$       68226282,$       48631880
Florida,1996,$       74196033,$       51343169
Florida,1997,$       76174148,$       54509045
Florida,1998,$       88918688,$       58435943
Florida,1999,$       88422010,$       61965809
Florida,2000,$       92402130,$       64146076
Florida,2002,$       93274596,$       72350857
Florida,2004,$      129013687,$       82222577
Florida,2005,$      135491071,$       90055638
Florida,2006,$      153086214,$      102939200
Florida,2007,$      172906348,$      110842269
Florida,2008,$      148608841,$      116804205
Florida,2009,$      118420096,$      109573198
Florida,2010,$      166817472,$      106913449
Florida,2011,$      180202820,$      105938929
Florida,2012,$      148087824,$      106025195
Florida,2013,$      172330769,$      108260690
Florida,2014,$      180418044,$      111060654
Florida,2015,$      167483541,$      115363830
Florida,2016,$      164755203,$      120294817
Florida,2017,$      192144243,$      126423830
Georgia,1993,$       29559675,$       20119148
Georgia,1994,$       32099313,$       22039071
Georgia,1995,$       34623044,$       23607296
Georgia,1996,$       38005508,$       25477419
Georgia,1997,$       40111409,$       26455184
Georgia,1998,$       40284294,$       28041212
Georgia,1999,$       46264608,$       30418450
Georgia,2000,$       49309807,$       32620426
Georgia,2002,$       46166078,$       35002321
Georgia,2004,$       56986796,$       37366213
Georgia,2005,$       60296631,$       39604644
Georgia,2006,$       66058147,$       44562847
Georgia,2007,$       75994470,$       48499918
Georgia,2008,$       73036779,$       49822865
Georgia,2009,$       63194910,$       46677899
Georgia,2010,$       76369638,$       45548820
Georgia,2011,$       84591622,$       47531266
Georgia,2012,$       71202323,$       48027699
Georgia,2013,$       82325261,$       49474134
Georgia,2014,$       86575820,$       50368964
Georgia,2015,$       78522909,$       51947845
Georgia,2016,$       78329632,$       54209446
Georgia,2017,$       91081473,$       56411364
Hawaii,1993,$        6860466,$        4921223
Hawaii,1994,$        7075297,$        5079659
Hawaii,1995,$        7179570,$        5103990
Hawaii,1996,$        7820751,$        5299593
Hawaii,1997,$        8144623,$        5375877
Hawaii,1998,$        8259443,$        5466143
Hawaii,1999,$        8093565,$        5492974
Hawaii,2000,$        8488284,$        5797617
Hawaii,2002,$        7451684,$        5881217
Hawaii,2004,$       10174146,$        6561360
Hawaii,2005,$       11000269,$        7589945
Hawaii,2006,$       11998548,$        8457460
Hawaii,2007,$       13592500,$        8998356
Hawaii,2008,$       11968775,$        9409705
Hawaii,2009,$        9920831,$        9236268
Hawaii,2010,$       14665662,$        9394038
Hawaii,2011,$       15945159,$        9718138
Hawaii,2012,$       13855773,$       10392522
Hawaii,2013,$       16766094,$       11307129
Hawaii,2014,$       17722458,$       11528391
Hawaii,2015,$       17156084,$       12462075
Hawaii,2016,$       17454318,$       13196633
Hawaii,2017,$       20329637,$       14133052
Idaho,1993,$        4471230,$        2997689
Idaho,1994,$        4957737,$        3316353
Idaho,1995,$        5284364,$        3647829
Idaho,1996,$        5931838,$        3829291
Idaho,1997,$        6030973,$        4105738
Idaho,1998,$        6598419,$        4401286
Idaho,1999,$        6867701,$        4684279
Idaho,2000,$        7590426,$        4926511
Idaho,2002,$        6872684,$        5204475
Idaho,2004,$        9754123,$        5882933
Idaho,2005,$       10004264,$        6422937
Idaho,2006,$       10847067,$        6890543
Idaho,2007,$       12268852,$        7391558
Idaho,2008,$       10534067,$        7821457
Idaho,2009,$        9096518,$        7476548
Idaho,2010,$       12489961,$        7340569
Idaho,2011,$       14106986,$        7787260
Idaho,2012,$       11855694,$        7686427
Idaho,2013,$       13284760,$        7963183
Idaho,2014,$       14122263,$        8199753
Idaho,2015,$       13218586,$        8784304
Idaho,2016,$       13188505,$        8944664
Idaho,2017,$       15535296,$        9433991
Illinois,1993,$       52692632,$       36156371
Illinois,1994,$       55660942,$       38311919
Illinois,1995,$       60093089,$       41359097
Illinois,1996,$       63908509,$       43596147
Illinois,1997,$       67217014,$       45168578
Illinois,1998,$       69393007,$       47651472
Illinois,1999,$       73603151,$       50254304
Illinois,2000,$       80695041,$       53629207
Illinois,2002,$       73670336,$       56464281
Illinois,2004,$      100580663,$       60781072
Illinois,2005,$       99669899,$       64566525
Illinois,2006,$      107810566,$       71281861
Illinois,2007,$      120065026,$       74754249
Illinois,2008,$      102660793,$       76575671
Illinois,2009,$       74484040,$       75449809
Illinois,2010,$      126383763,$       76686434
Illinois,2011,$      135949057,$       80269474
Illinois,2012,$      119921125,$       88283044
Illinois,2013,$      144315610,$       92324138
Illinois,2014,$      150125874,$       93360165
Illinois,2015,$      136175393,$       93858296
Illinois,2016,$      128361488,$       92183017
Illinois,2017,$      148647899,$       95914947
Indiana,1993,$       22637403,$       16378698
Indiana,1994,$       24818206,$       17946420
Indiana,1995,$       25288007,$       19106034
Indiana,1996,$       25793136,$       19188248
Indiana,1997,$       28284128,$       21488111
Indiana,1998,$       28721177,$       21918876
Indiana,1999,$       30889856,$       23177858
Indiana,2000,$       32715990,$       24580443
Indiana,2002,$       34220921,$       26080099
Indiana,2004,$       41066913,$       28446304
Indiana,2005,$       44301843,$       32368905
Indiana,2006,$       50510259,$       37699181
Indiana,2007,$       49781264,$       34408140
Indiana,2008,$       46949468,$       36239530
Indiana,2009,$       46647994,$       36810821
Indiana,2010,$       54802507,$       35972348
Indiana,2011,$       57105262,$       36019830
Indiana,2012,$       51624918,$       36399470
Indiana,2013,$       55255339,$       37102002
Indiana,2014,$       57082997,$       37910788
Indiana,2015,$       58463486,$       39564056
Indiana,2016,$       60406402,$       40433065
Indiana,2017,$       62854281,$       40463680
Iowa,1993,$       12588072,$        9054686
Iowa,1994,$       13531431,$        9548641
Iowa,1995,$       14188947,$       10225575
Iowa,1996,$       14320121,$       10411963
Iowa,1997,$       14659377,$       10807955
Iowa,1998,$       15418322,$       11318916
Iowa,1999,$       17269875,$       11716240
Iowa,2000,$       17220008,$       12248727
Iowa,2002,$       17601402,$       13244933
Iowa,2004,$       22544565,$       14092118
Iowa,2005,$       23204137,$       14995928
Iowa,2006,$       24836440,$       16125965
Iowa,2007,$       27641332,$       17279679
Iowa,2008,$       24960517,$       18316814
Iowa,2009,$       22827675,$       19039759
Iowa,2010,$       31054604,$       19098057
Iowa,2011,$       34619721,$       20226634
Iowa,2012,$       32963104,$       23057987
Iowa,2013,$       36124950,$       23930187
Iowa,2014,$       38004668,$       24576504
Iowa,2015,$       36795579,$       25967349
Iowa,2016,$       36750610,$       26377292
Iowa,2017,$       41260973,$       28248595
Kansas,1993,$       10901995,$        7652027
Kansas,1994,$       12105469,$        8484172
Kansas,1995,$       12152602,$        8789721
Kansas,1996,$       12873508,$        9265768
Kansas,1997,$       13098305,$        9690133
Kansas,1998,$       13915673,$       10493099
Kansas,1999,$       14141248,$       10374087
Kansas,2000,$       16234734,$       10908616
Kansas,2002,$       15982083,$       11534149
Kansas,2004,$       18582666,$       13210459
Kansas,2005,$       19990130,$       13594080
Kansas,2006,$       21585582,$       14806783
Kansas,2007,$       24251625,$       16605913
Kansas,2008,$       22609524,$       17616977
Kansas,2009,$       21020539,$       18044350
Kansas,2010,$       26329759,$       17819061
Kansas,2011,$       28544267,$       18366372
Kansas,2012,$       23812615,$       19350072
Kansas,2013,$       29076999,$       20209398
Kansas,2014,$       29639433,$       20297834
Kansas,2015,$       28125525,$       20656576
Kansas,2016,$       28166307,$       21421842
Kansas,2017,$       32014790,$       22314531
Kentucky,1993,$       15077680,$        9793538
Kentucky,1994,$       15777861,$       10412789
Kentucky,1995,$       17255219,$       11527848
Kentucky,1996,$       18515169,$       12183998
Kentucky,1997,$       20272239,$       12856660
Kentucky,1998,$       21621361,$       13549318
Kentucky,1999,$       22769157,$       14198382
Kentucky,2000,$       25199960,$       14827525
Kentucky,2002,$       22474542,$       15817489
Kentucky,2004,$       26833520,$       16740226
Kentucky,2005,$       28068853,$       17715416
Kentucky,2006,$       30925835,$       19338643
Kentucky,2007,$       33798451,$       20211716
Kentucky,2008,$       29486579,$       21174787
Kentucky,2009,$       28096981,$       21377404
Kentucky,2010,$       37559735,$       21385167
Kentucky,2011,$       40966092,$       22405543
Kentucky,2012,$       35057231,$       22585552
Kentucky,2013,$       38275238,$       22641770
Kentucky,2014,$       41076607,$       23346242
Kentucky,2015,$       39951541,$       24096976
Kentucky,2016,$       40310025,$       24660999
Kentucky,2017,$       45190756,$       25285757
Louisiana,1993,$       19272983,$       12213195
Louisiana,1994,$       19851899,$       12365720
Louisiana,1995,$       20682864,$       13070548
Louisiana,1996,$       21458428,$       13780688
Louisiana,1997,$       23394638,$       15570357
Louisiana,1998,$       25395910,$       16277277
Louisiana,1999,$       25697920,$       16783751
Louisiana,2000,$       27109000,$       17272187
Louisiana,2002,$       27387749,$       19562758
Louisiana,2004,$       34117237,$       20292673
Louisiana,2005,$       35858007,$       22038629
Louisiana,2006,$       39812466,$       23606303
Louisiana,2007,$       46744362,$       26091522
Louisiana,2008,$       45041608,$       28066188
Louisiana,2009,$       38025641,$       27876891
Louisiana,2010,$       47078081,$       26472273
Louisiana,2011,$       49275566,$       27095137
Louisiana,2012,$       41978621,$       27067267
Louisiana,2013,$       48596820,$       28390647
Louisiana,2014,$       49937088,$       28075272
Louisiana,2015,$       43990865,$       28018726
Louisiana,2016,$       42674534,$       27710610
Louisiana,2017,$       52284692,$       29118431
Alaska,1993,$        9050331,$        6626977
Alaska,1994,$        7823878,$        5666810
Alaska,1995,$       10100428,$        7774777
Alaska,1996,$       10001719,$        7210948
Alaska,1997,$       11304860,$        7832826
Alaska,1998,$       11021929,$        8411978
Alaska,1999,$        9224580,$        6232249
Alaska,2000,$       10525400,$        7631362
Alaska,2002,$        6992884,$        5419599
Alaska,2004,$       11031362,$        6101941
Alaska,2005,$       11404052,$        7271531
Alaska,2006,$       13246588,$        8617027
Alaska,2007,$       15534046,$       10432939
Alaska,2008,$       19086790,$       16216733
Alaska,2009,$       12599251,$       11616143
Alaska,2010,$       15643406,$       10658980
Alaska,2011,$       18353715,$       12364597
Alaska,2012,$       18197986,$       14030262
Alaska,2013,$       17583374,$       12239256
Alaska,2014,$       16294653,$       10475529
Alaska,2015,$       11931622,$        7881028
Alaska,2016,$       11497088,$        7520625
Alaska,2017,$       14287100,$        8112130
Maine,1993,$        5481764,$        3786701
Maine,1994,$        5741086,$        3922560
Maine,1995,$        5958429,$        4093511
Maine,1996,$        6144531,$        4296468
Maine,1997,$        7326289,$        4700504
Maine,1998,$        7993259,$        5260370
Maine,1999,$        8095785,$        5435380
Maine,2000,$        8554420,$        5809529
Maine,2002,$        8019443,$        6176108
Maine,2004,$       11294748,$        6929602
Maine,2005,$       11383089,$        7337359
Maine,2006,$       11486045,$        7625609
Maine,2007,$       12482589,$        7843634
Maine,2008,$       10595472,$        7917853
Maine,2009,$        9484844,$        7773555
Maine,2010,$       12557033,$        7781204
Maine,2011,$       13921585,$        8028420
Maine,2012,$       11939639,$        8315833
Maine,2013,$       13302514,$        8449765
Maine,2014,$       14095921,$        8572640
Maine,2015,$       12512983,$        8716609
Maine,2016,$       12567515,$        8950799
Maine,2017,$       14432126,$        9177380
Maryland,1993,$       23299731,$       16649614
Maryland,1994,$       24350263,$       17532790
Maryland,1995,$       25501677,$       18455173
Maryland,1996,$       25843135,$       18905799
Maryland,1997,$       30877020,$       19851755
Maryland,1998,$       31917773,$       21267396
Maryland,1999,$       31267649,$       22033406
Maryland,2000,$       33949282,$       24466408
Maryland,2002,$       33468019,$       26391429
Maryland,2004,$       44404420,$       29576701
Maryland,2005,$       45076453,$       31522937
Maryland,2006,$       48292144,$       33874807
Maryland,2007,$       53186913,$       34842166
Maryland,2008,$       44921659,$       36430751
Maryland,2009,$       40006722,$       37413404
Maryland,2010,$       57493374,$       37254555
Maryland,2011,$       62803435,$       38637867
Maryland,2012,$       56565876,$       40619293
Maryland,2013,$       64551839,$       42429329
Maryland,2014,$       67185039,$       43693135
Maryland,2015,$       64612341,$       45787621
Maryland,2016,$       65194610,$       47745422
Maryland,2017,$       73282370,$       49121087
Massachusetts,1993,$       31532707,$       21805223
Massachusetts,1994,$       33055882,$       23045878
Massachusetts,1995,$       35340042,$       24411008
Massachusetts,1996,$       37024870,$       25833786
Massachusetts,1997,$       38445145,$       26787637
Massachusetts,1998,$       41013448,$       28657899
Massachusetts,1999,$       41425268,$       30000166
Massachusetts,2000,$       46102672,$       31855849
Massachusetts,2002,$       41901609,$       32802044
Massachusetts,2004,$       60935514,$       37168310
Massachusetts,2005,$       62019392,$       40299909
Massachusetts,2006,$       66588191,$       42460208
Massachusetts,2007,$       70120204,$       44096931
Massachusetts,2008,$       65770834,$       47847598
Massachusetts,2009,$       52546070,$       46360428
Massachusetts,2010,$       76099979,$       46317976
Massachusetts,2011,$       82849657,$       49025970
Massachusetts,2012,$       73543772,$       49996798
Massachusetts,2013,$       82199710,$       51215352
Massachusetts,2014,$       87971825,$       54258938
Massachusetts,2015,$       84238815,$       57005471
Massachusetts,2016,$       85616442,$       59123534
Massachusetts,2017,$       95392235,$       60281404
Michigan,1993,$       45449588,$       32290416
Michigan,1994,$       48191495,$       33720147
Michigan,1995,$       49479450,$       33773371
Michigan,1996,$       52580496,$       35687939
Michigan,1997,$       61749190,$       38339364
Michigan,1998,$       58304859,$       41132177
Michigan,1999,$       66077515,$       43030860
Michigan,2000,$       70111672,$       46084318
Michigan,2002,$       63400981,$       45689442
Michigan,2004,$       79688972,$       50252291
Michigan,2005,$       81138462,$       52547547
Michigan,2006,$       83897869,$       54480059
Michigan,2007,$       91388541,$       57424711
Michigan,2008,$       69088082,$       58323702
Michigan,2009,$       72163625,$       55413747
Michigan,2010,$       93818603,$       54894289
Michigan,2011,$       93555103,$       56541671
Michigan,2012,$       91383838,$       56029773
Michigan,2013,$       96812774,$       57542730
Michigan,2014,$       99854338,$       58610532
Michigan,2015,$       95113232,$       61566516
Michigan,2016,$       98854813,$       63408782
Michigan,2017,$      106961450,$       65728620
Minnesota,1993,$       25629902,$       17980869
Minnesota,1994,$       26313797,$       18385769
Minnesota,1995,$       28361146,$       20089662
Minnesota,1996,$       30794144,$       21076808
Minnesota,1997,$       33425112,$       22288002
Minnesota,1998,$       36337216,$       23484748
Minnesota,1999,$       36636601,$       24350290
Minnesota,2000,$       38785158,$       26187820
Minnesota,2002,$       35131055,$       27105143
Minnesota,2004,$       42955004,$       28068280
Minnesota,2005,$       45464645,$       30084384
Minnesota,2006,$       48774299,$       32109296
Minnesota,2007,$       54342531,$       34120508
Minnesota,2008,$       45659035,$       35536194
Minnesota,2009,$       39015154,$       35024275
