"time","original","adjusted"
"1994Q1",4049,4362.15934268454
"1994Q2",5118,4435.30840074013
"1994Q3",4464,4504.76721646389
"1994Q4",4283,4630.30649261336
"1995Q1",4274,4609.04268937102
"1995Q2",5407,4679.37091090986
"1995Q3",4799,4813.96324705201
"1995Q4",4279,4779.67961656502
"1996Q1",4659,4880.17844539168
"1996Q2",5844,4947.58069511232
"1996Q3",4792,4988.84787421881
"1996Q4",4532,5099.96919943101
"1997Q1",5127,5282.92944649858
"1997Q2",6432,5392.01658427006
"1997Q3",5115,5390.42260253546
"1997Q4",5014,5549.87593954655
"1998Q1",5318,5574.25337244772
"1998Q2",6552,5551.49629569451
"1998Q3",5568,5667.40094523791
"1998Q4",5142,5720.43856000908
"1999Q1",5409,5870.44066554338
"1999Q2",7382,6251.70329070307
"1999Q3",6508,6546.03863766943
"1999Q4",6169,6752.17573553907
"2000Q1",6503,6902.44641287905
"2000Q2",8131,7111.97467250924
"2000Q3",6877,7066.24188812163
"2000Q4",6684,7221.66454437147
"2001Q1",7186,7307.71287469332
"2001Q2",7649,7045.49274169703
"2001Q3",7171,7184.80552662004
"2001Q4",6612,7170.73531313556
"2002Q1",6896,7137.14053816131
"2002Q2",7885,7199.57772690119
"2002Q3",7352,7238.96717850722
"2002Q4",6563,7149.84801755101
"2003Q1",6886,7162.88994492651
"2003Q2",7896,7198.46584321741
"2003Q3",7313,7340.3622550484
"2003Q4",6959,7530.32277485037
"2004Q1",7461,7670.65422227028
"2004Q2",8638,7789.47991621218
"2004Q3",7736,7839.02270878174
"2004Q4",7343,7971.85461698637
"2005Q1",7914,8150.65779687746
"2005Q2",9137,8312.95520264732
"2005Q3",8618,8689.92140862975
"2005Q4",8287,8973.2173221298
"2006Q1",8915,9151.07591266195
"2006Q2",10399,9319.04434956952
"2006Q3",9312,9465.83435152769
"2006Q4",8746,9650.63503619361
"2007Q1",9677,10004.8954905043
"2007Q2",11536,10050.2260050197
"2007Q3",10355,10500.4456932652
"2007Q4",9708,10869.8292716886
"2008Q1",10137,10901.5837699119
"2008Q2",14016,11373.7750452865
"2008Q3",11134,11374.9928219552
"2008Q4",9614,11190.0956400486
"2009Q1",9235,9888.6319399973
"2009Q2",12541,9902.36784645469
"2009Q3",9307,9714.81479368311
"2009Q4",8482,9762.10001476574
"2010Q1",9165,9828.72514805577
"2010Q2",12508,10004.220301795
"2010Q3",9737,10185.7384785145
"2010Q4",9285,10460.1758447213
"2011Q1",9975,10700.7306283499
"2011Q2",13561,10982.1826581284
"2011Q3",10813,11324.8743142138
"2011Q4",10421,11729.6677375756
"2012Q1",11176,12002.6003115186
"2012Q2",15373,12346.1920242203
"2012Q3",11982,12452.881338418
"2012Q4",11019,12569.0545299595
"2013Q1",11859,12720.0499246385
"2013Q2",16032,12961.5910389834
"2013Q3",12749,13129.3273728792
"2013Q4",11645,13347.2052010766
"2014Q1",12831,13643.7004734956
"2014Q2",16921,13899.1344813553
"2014Q3",13749,14057.0302451476
"2014Q4",12312,14022.1426569066
"2015Q1",13233,13915.6784089916
"2015Q2",16437,13755.0997911163
"2015Q3",13105,13452.8694166627
"2015Q4",11720,13245.5930662018
"2016Q1",12612,13064.4461526478
"2016Q2",15121,12960.9652031989
"2016Q3",12680,13031.5174199924
"2016Q4",11652,13052.2625760313
"2017Q1",13109,13369.4896466859
"2017Q2",15529,13506.2314391377
"2017Q3",13323,13815.1726640525
"2017Q4",13083,14471.1546740858
"2018Q1",14370,14807.6164065854
"2018Q2",17524,15217.3279071011
"2018Q3",15350,15593.3357487043
"2018Q4",13978,15609.9772445346
"2019Q1",15217,15804.2673894668
"2019Q2",18320,15919.7537816378
"2019Q3",15842,16110.9876637213
"2019Q4",14689,16350.525992236
"2020Q1",15927,16553.4495310219
