"time","original","adj"
"1994:1",4049,4362.15934268454
"1994:2",5118,4435.30840074013
"1994:3",4464,4504.76721646389
"1994:4",4283,4630.30649261336
"1995:1",4274,4609.04268937102
"1995:2",5407,4679.37091090986
"1995:3",4799,4813.96324705201
"1995:4",4279,4779.67961656502
"1996:1",4659,4880.17844539168
"1996:2",5844,4947.58069511232
"1996:3",4792,4988.84787421881
"1996:4",4532,5099.96919943101
"1997:1",5127,5282.92944649858
"1997:2",6432,5392.01658427006
"1997:3",5115,5390.42260253546
"1997:4",5014,5549.87593954655
"1998:1",5318,5574.25337244772
"1998:2",6552,5551.49629569451
"1998:3",5568,5667.40094523791
"1998:4",5142,5720.43856000908
"1999:1",5409,5870.44066554338
"1999:2",7382,6251.70329070307
"1999:3",6508,6546.03863766943
"1999:4",6169,6752.17573553907
"2000:1",6503,6902.44641287905
"2000:2",8131,7111.97467250924
"2000:3",6877,7066.24188812163
"2000:4",6684,7221.66454437147
"2001:1",7186,7307.71287469332
"2001:2",7649,7045.49274169703
"2001:3",7171,7184.80552662004
"2001:4",6612,7170.73531313556
"2002:1",6896,7137.14053816131
"2002:2",7885,7199.57772690119
"2002:3",7352,7238.96717850722
"2002:4",6563,7149.84801755101
"2003:1",6886,7162.88994492651
"2003:2",7896,7198.46584321741
"2003:3",7313,7340.3622550484
"2003:4",6959,7530.32277485037
"2004:1",7461,7670.65422227028
"2004:2",8638,7789.47991621218
"2004:3",7736,7839.02270878174
"2004:4",7343,7971.85461698637
"2005:1",7914,8150.65779687746
"2005:2",9137,8312.95520264732
"2005:3",8618,8689.92140862975
"2005:4",8287,8973.2173221298
"2006:1",8915,9151.07591266195
"2006:2",10399,9319.04434956952
"2006:3",9312,9465.83435152769
"2006:4",8746,9650.63503619361
"2007:1",9677,10004.8954905043
"2007:2",11536,10050.2260050197
"2007:3",10355,10500.4456932652
"2007:4",9708,10869.8292716886
"2008:1",10137,10901.5837699119
"2008:2",14016,11373.7750452865
"2008:3",11134,11374.9928219552
"2008:4",9614,11190.0956400486
"2009:1",9235,9888.6319399973
"2009:2",12541,9902.36784645469
"2009:3",9307,9714.81479368311
"2009:4",8482,9762.10001476574
"2010:1",9165,9828.72514805577
"2010:2",12508,10004.220301795
"2010:3",9737,10185.7384785145
"2010:4",9285,10460.1758447213
"2011:1",9975,10700.7306283499
"2011:2",13561,10982.1826581284
"2011:3",10813,11324.8743142138
"2011:4",10421,11729.6677375756
"2012:1",11176,12002.6003115186
"2012:2",15373,12346.1920242203
"2012:3",11982,12452.881338418
"2012:4",11019,12569.0545299595
"2013:1",11859,12720.0499246385
"2013:2",16032,12961.5910389834
"2013:3",12749,13129.3273728792
"2013:4",11645,13347.2052010766
"2014:1",12831,13643.7004734956
"2014:2",16921,13899.1344813553
"2014:3",13749,14057.0302451476
"2014:4",12312,14022.1426569066
"2015:1",13233,13915.6784089916
"2015:2",16437,13755.0997911163
"2015:3",13105,13452.8694166627
"2015:4",11720,13245.5930662018
"2016:1",12612,13064.4461526478
"2016:2",15121,12960.9652031989
"2016:3",12680,13031.5174199924
"2016:4",11652,13052.2625760313
"2017:1",13109,13369.4896466859
"2017:2",15529,13506.2314391377
"2017:3",13323,13815.1726640525
"2017:4",13083,14471.1546740858
"2018:1",14370,14807.6164065854
"2018:2",17524,15217.3279071011
"2018:3",15350,15593.3357487043
"2018:4",13978,15609.9772445346
"2019:1",15217,15804.2673894668
"2019:2",18320,15919.7537816378
"2019:3",15842,16110.9876637213
"2019:4",14689,16350.525992236
"2020:1",15927,16553.4495310219
