Level: State
Unit:Total (thousands), Nominal
State,Year,(R01) Total Revenue,(R03) General Revenue,(E001) Total Expenditure,(E013) General Expenditure,(E024) Total Educ-Direct Exp,(E027) Elem Educ-Direct Exp,(E030) Total High Ed-Dir Exp,(E031) Total High Ed-Cur Oper,(E036) Educational Assistance (E19),(E052) Health & Hosp-Dir Exp,(E053) Health & Hosp-Cur Oper,(E054) Health & Hosp-Cap Out,(E055) Health-Direct Expend,(E056) Health-Current Oper (E32)
Alabama,1990,$        9076557,$        7555155,$        8119095,$        7410669,$        1818313,$          17940,$        1344408,$        1168300,$          54096,$         881690,$         827701,$          53989,$         286757,$         280194
Alabama,1991,$        9767445,$        8173252,$        8855260,$        8050247,$        1875415,$          29672,$        1435808,$        1262419,$          53873,$        1038341,$         979037,$          59304,$         332418,$         325767
Alabama,1992,$       10536166,$        8910315,$        9650515,$        8788293,$        1871394,$          24693,$        1437777,$        1310732,$          64703,$        1163710,$        1105864,$          57846,$         382895,$         369853
Alabama,1993,$       11389335,$        9688246,$       10242374,$        9339796,$        1920765,$           9926,$        1576635,$        1416397,$          74282,$        1283736,$        1238024,$          45712,$         395901,$         385971
Alabama,1994,$       11599362,$       10014415,$       10815221,$        9922352,$        2101540,$          10797,$        1708694,$        1546647,$          84019,$        1294154,$        1250444,$          43710,$         470960,$         449519
Alabama,1995,$       12448670,$       10582838,$       11634629,$       10489513,$        2260473,$          13389,$        1876607,$        1704584,$         108242,$        1285857,$        1259685,$          26172,$         474424,$         466516
Alabama,1996,$       12741148,$       10894396,$       12126587,$       10991713,$        2240613,$          14179,$        1866969,$        1698502,$         124913,$        1316323,$        1284148,$          32175,$         500625,$         494103
Alabama,1997,$       14007883,$       11487011,$       12944867,$       11668841,$        2347003,$              0,$        1979473,$        1769013,$         107733,$        1437167,$        1392608,$          44559,$         554554,$         545237
Alabama,1998,$       14838951,$       12428410,$       13728431,$       12475614,$        2419676,$              0,$        2031555,$        1847494,$         117044,$        1491190,$        1458684,$          32506,$         542878,$         534768
Alabama,1999,$       15501093,$       13093255,$       14701938,$       13289087,$        2613424,$              0,$        2197528,$        1996294,$         126108,$        1602412,$        1554232,$          48180,$         574661,$         570046
Alabama,2000,$       16856646,$       14116821,$       15872589,$       14399604,$        2807449,$              0,$        2373695,$        2098128,$         139186,$        1605056,$        1563021,$          42035,$         584002,$         581718
Alabama,2001,$       17859899,$       15731646,$       16718151,$       15055914,$        3002476,$              0,$        2525526,$        2258203,$         152577,$        1706167,$        1652189,$          53978,$         631318,$         630255
Alabama,2002,$       14942192,$       15986065,$       17996418,$       16160326,$        3231288,$              0,$        2720196,$        2361807,$         192301,$        1821208,$        1753121,$          68087,$         702946,$         701353
Alabama,2003,$       19098788,$       16574756,$       18471110,$       17009944,$        3522232,$              0,$        2959361,$        2562822,$         196733,$        1952821,$        1847338,$         105483,$         741737,$         736895
Alabama,2004,$       21401777,$       17449427,$       19544560,$       17621702,$        4021733,$              0,$        3375293,$        2835412,$         210339,$        1899720,$        1767469,$         132251,$         799214,$         795447
Alabama,2005,$       22296792,$       18910066,$       20346322,$       18410166,$        3990699,$              0,$        3491000,$        2840616,$         221697,$        1801864,$        1502074,$         299790,$         459147,$         453830
Alabama,2006,$       23716174,$       20305857,$       21550799,$       19300385,$        4279773,$              0,$        3742723,$        3102609,$         244420,$        1644895,$        1570443,$          74452,$         499810,$         493413
Alabama,2007,$       27147360,$       20898228,$       23492507,$       20974219,$        4908569,$              0,$        4304786,$        3660619,$         295217,$        1816845,$        1735548,$          81297,$         618709,$         611716
Alabama,2008,$       17685583,$       21306140,$       24892739,$       22170605,$        5284371,$              0,$        4633538,$        3970390,$         316707,$        2014155,$        1868826,$         145329,$         667920,$         661604
Alabama,2009,$       20036326,$       21103234,$       26422265,$       23335185,$        5514340,$              0,$        4796509,$        3964385,$         373529,$        1834942,$        1751120,$          83822,$         552473,$         547532
Alabama,2010,$       27058029,$       23224028,$       27699687,$       24016434,$        5520914,$              0,$        4751404,$        4084785,$         402752,$        2105905,$        1858332,$         247573,$         573868,$         565741
Alabama,2011,$       26296658,$       23273238,$       28061237,$       24290468,$        5767817,$              0,$        4965533,$        4302760,$         445842,$        1975850,$        1902764,$          73086,$         567300,$         555930
Alabama,2012,$       29652729,$       23527080,$       30813117,$       27089980,$        6523656,$              0,$        4600954,$        3874713,$         443753,$        1932118,$        1848987,$          83131,$         528258,$         521400
Alabama,2013,$       30469040,$       24248330,$       31382719,$       27784838,$        7023425,$              0,$        4977347,$        4037513,$         508562,$        2055263,$        1958187,$          97076,$         482559,$         475146
