"time","original","adjusted"
"1994Q1",1817,2035.44655247641
"1994Q2",2406,2064.06355576582
"1994Q3",2005,2081.56408583782
"1994Q4",2032,2107.15541677921
"1995Q1",1944,2128.70027156811
"1995Q2",2406,2098.31073791475
"1995Q3",2111,2157.6132921361
"1995Q4",2034,2171.91307524233
"1996Q1",2015,2228.7688223396
"1996Q2",2749,2305.37307387822
"1996Q3",2279,2343.4728078473
"1996Q4",2194,2363.79507524997
"1997Q1",2216,2441.78908368294
"1997Q2",2938,2461.9465017388
"1997Q3",2408,2513.58486570939
"1997Q4",2446,2587.7365400015
"1998Q1",2337,2611.7491975713
"1998Q2",3284,2712.16744922228
"1998Q3",2654,2773.57871854396
"1998Q4",2598,2819.16984517029
"1999Q1",2738,2987.3296412226
"1999Q2",3623,2989.39483555767
"1999Q3",2958,3122.85866747524
"1999Q4",2984,3187.10559307734
"2000Q1",2787,3175.32157353865
"2000Q2",4349,3353.4181296505
"2000Q3",2950,3225.06138839512
"2000Q4",3007,3265.53088116607
"2001Q1",3077,3378.99611075313
"2001Q2",4060,3339.02589495774
"2001Q3",3257,3413.63039328092
"2001Q4",3168,3339.6380269495
"2002Q1",2486,2758.49864199468
"2002Q2",3871,3243.74743015681
"2002Q3",2971,3190.40293145651
"2002Q4",3157,3224.30948491385
"2003Q1",2921,3265.28516866668
"2003Q2",3923,3315.5922103747
"2003Q3",3179,3405.36231019797
"2003Q4",3511,3519.0074362652
"2004Q1",3169,3576.5806505174
"2004Q2",4375,3706.53749059231
"2004Q3",3544,3797.31398247084
"2004Q4",3873,3870.19339858538
"2005Q1",3689,4133.52745492788
"2005Q2",4813,4227.16746359503
"2005Q3",3171,3438.21992590664
"2005Q4",5094,4628.68777845534
"2006Q1",3831,4504.9152177283
"2006Q2",5096,4519.53921991128
"2006Q3",4248,4605.18534120523
"2006Q4",5099,4773.24063664967
"2007Q1",3983,4666.93105561169
"2007Q2",5642,4714.78118253305
"2007Q3",4427,4646.64731965624
"2007Q4",4274,4496.72217263855
"2008Q1",4064,4667.15373940555
"2008Q2",5558,4564.14577010614
"2008Q3",4382,4427.4699391303
"2008Q4",4223,4266.01466382304
"2009Q1",3255,4032.50788039019
"2009Q2",4748,4006.56281352313
"2009Q3",4051,4049.27452099535
"2009Q4",4161,4037.20959258994
"2010Q1",3223,3968.29541522453
"2010Q2",4826,4054.57897463194
"2010Q3",3930,4121.42601313248
"2010Q4",4339,4256.26123482368
"2011Q1",3697,4332.26418475358
"2011Q2",5319,4392.95014226836
"2011Q3",4112,4390.07452081377
"2011Q4",4412,4480.77475358724
"2012Q1",3925,4545.22348313071
"2012Q2",5591,4597.94542689099
"2012Q3",4535,4717.29158095684
"2012Q4",4495,4692.69787109289
"2013Q1",4077,4734.33784437061
"2013Q2",6011,4831.95083247323
"2013Q3",4469,4723.18612590674
"2013Q4",4587,4737.99271582379
"2014Q1",4157,4801.01384724672
"2014Q2",5721,4784.22719201617
"2014Q3",4747,4940.52150758858
"2014Q4",5041,5072.34909542621
"2015Q1",4265,5037.91957195246
"2015Q2",6341,5222.44937753743
"2015Q3",5033,5225.7714933836
"2015Q4",5051,5223.6998760068
"2016Q1",4666,5310.68348220086
"2016Q2",6286,5326.26225657061
"2016Q3",5197,5394.03174627812
"2016Q4",5283,5440.54924605201
"2017Q1",4964,5512.60683840861
"2017Q2",6399,5581.24656495011
"2017Q3",5430,5679.27874805374
"2017Q4",5658,5788.74433321978
"2018Q1",5416,5814.07194147067
"2018Q2",6471,5711.54353816751
"2018Q3",5550,5814.07547418486
"2018Q4",5504,5855.32235660737
"2019Q1",5658,6057.31299404423
"2019Q2",7274,6174.16032574882
"2019Q3",5977,6252.18681455087
"2019Q4",5883,6301.75795361125
"2020Q1",5905,6443.78703309485
