"time","original","adjusted"
"1994Q1",2406,2651.11153266575
"1994Q2",2508,2190.20324785049
"1994Q3",2483,2558.54647502269
"1994Q4",2559,2556.61680877771
"1995Q1",2222,2515.74680389669
"1995Q2",2936,2562.36505956472
"1995Q3",2583,2593.30047794915
"1995Q4",2559,2604.24398224372
"1996Q1",2389,2644.89268311736
"1996Q2",3018,2687.44922677418
"1996Q3",2708,2720.14611769628
"1996Q4",2685,2744.10213352832
"1997Q1",2024,2159.40331300111
"1997Q2",3774,3473.99461865803
"1997Q3",2821,2848.7783584612
"1997Q4",2887,2955.13614304524
"1998Q1",2893,2998.58179182107
"1998Q2",3168,3008.01351548917
"1998Q3",3173,3084.38567735499
"1998Q4",2886,3038.82769399579
"1999Q1",2996,3086.80880540591
"1999Q2",3283,3146.47317925763
"1999Q3",3200,3134.93398079159
"1999Q4",3084,3180.19965485638
"2000Q1",3132,3153.52220874136
"2000Q2",3152,3113.91205791405
"2000Q3",3216,3173.28156762954
"2000Q4",3024,3150.74459018337
"2001Q1",3230,3188.2468281479
"2001Q2",3302,3184.41177502999
"2001Q3",3095,3128.06643333278
"2001Q4",3046,3166.37707200843
"2002Q1",3164,3171.44930281639
"2002Q2",3323,3203.31677263904
"2002Q3",3280,3238.23186015516
"2002Q4",3133,3255.05384652854
"2003Q1",3243,3288.53109024281
"2003Q2",3414,3329.14180166531
"2003Q3",3478,3386.7358471345
"2003Q4",3326,3457.53489538978
"2004Q1",3446,3501.38857054568
"2004Q2",3653,3576.73872134895
"2004Q3",3774,3628.12327798011
"2004Q4",3486,3663.75138571775
"2005Q1",3720,3736.92384749083
"2005Q2",3827,3796.47206412067
"2005Q3",4071,3903.92445627855
"2005Q4",3829,4046.43284181036
"2006Q1",4168,4181.32745267676
"2006Q2",4339,4278.8970805271
"2006Q3",4632,4380.36676735083
"2006Q4",4135,4396.8961001416
"2007Q1",4356,4419.12987442735
"2007Q2",4577,4514.82180746453
"2007Q3",4710,4484.41765730718
"2007Q4",4295,4542.44675338371
"2008Q1",4555,4516.16308573894
"2008Q2",4345,4437.72976814576
"2008Q3",4670,4329.52693286168
"2008Q4",3919,4171.59777478813
"2009Q1",4144,4033.48422483044
"2009Q2",3675,3870.85970416892
"2009Q3",4254,3924.1408959695
"2009Q4",3627,3926.70187008256
"2010Q1",4137,4018.42070343298
"2010Q2",4111,4108.51215485681
"2010Q3",4408,4179.40799565662
"2010Q4",3908,4283.50471920041
"2011Q1",4383,4324.76851101216
"2011Q2",4630,4448.26035951598
"2011Q3",4586,4388.70647432068
"2011Q4",3969,4377.98133627622
"2012Q1",4543,4436.85869842281
"2012Q2",4478,4450.5030998762
"2012Q3",4792,4537.70041023979
"2012Q4",4319,4686.69453466322
"2013Q1",4847,4730.79226857208
"2013Q2",4735,4771.24243463674
"2013Q3",5263,4851.74983213559
"2013Q4",4351,4815.71405552643
"2014Q1",4959,4853.05074036153
"2014Q2",4919,4939.76716403377
"2014Q3",5384,5001.06653732731
"2014Q4",4610,5086.96062651615
"2015Q1",5417,5222.33730242335
"2015Q2",5239,5300.33651320083
"2015Q3",5749,5427.99041967307
"2015Q4",5092,5477.62760179222
"2016Q1",5811,5626.0348621816
"2016Q2",5652,5773.23475522313
"2016Q3",5987,5841.08691894633
"2016Q4",5919,6060.6825334812
"2017Q1",6227,6030.54159161931
"2017Q2",5817,5926.57697020821
"2017Q3",6265,6134.62555746691
"2017Q4",5892,6302.68673748906
"2018Q1",6514,6448.93211102978
"2018Q2",7342,6806.91214908056
"2018Q3",5744,5627.25363643561
"2018Q4",6227,7165.36264297711
"2019Q1",7553,7439.36065591407
"2019Q2",8640,7652.76245978184
"2019Q3",7996,7788.18068899564
"2019Q4",6616,7902.94945270361
"2020Q1",8254,8110.51704187652
